"","Leto","Drzava","BDP"
"1",2008,"Belgium",351743.1
"2",2008,"Bulgaria",37217.7
"3",2008,"Czechia",162064.5
"4",2008,"Denmark",241613.5
"5",2008,"Germany",2546490
"6",2008,"Estonia",16638.3
"7",2008,"Ireland",187619.5
"8",2008,"Greece",241990.4
"9",2008,"Spain",1109541
"10",2008,"France",1992380
"11",2008,"Croatia",47981
"12",2008,"Italy",1637699.4
"13",2008,"Cyprus",19009.6
"14",2008,"Latvia",24464.5
"15",2008,"Lithuania",32660.1
"16",2008,"Luxembourg",38128.6
"17",2008,"Hungary",108215.8
"18",2008,"Malta",6206
"19",2008,"Netherlands",647198
"20",2008,"Austria",293761.9
"21",2008,"Poland",366040.5
"22",2008,"Portugal",179102.8
"23",2008,"Romania",146590.6
"24",2008,"Slovenia",37925.7
"25",2008,"Slovakia",66098.1
"26",2008,"Finland",194265
"27",2008,"Sweden",354881.1
"28",2008,"United Kingdom",1995854.5
"29",2008,"Iceland",10948.5
"30",2008,"Norway",317021.5
"31",2008,"Switzerland",389124.7
"32",2008,"Montenegro",3103.3
"33",2008,"North Macedonia",6772.1
"34",2008,"Albania",8800.3
"35",2008,"Serbia",35712.5
"36",2008,"Turkey",525994.8
"37",2008,"Bosnia and Herzegovina",13047.8
"38",2008,"Kosovo",3882.8
"39",2009,"Belgium",346472.8
"40",2009,"Bulgaria",37417.7
"41",2009,"Czechia",149586.5
"42",2009,"Denmark",231278
"43",2009,"Germany",2445730
"44",2009,"Estonia",14211.8
"45",2009,"Ireland",169785.8
"46",2009,"Greece",237534.2
"47",2009,"Spain",1069323
"48",2009,"France",1936422
"49",2009,"Croatia",45064.8
"50",2009,"Italy",1577255.9
"51",2009,"Cyprus",18675.5
"52",2009,"Latvia",18855
"53",2009,"Lithuania",26897
"54",2009,"Luxembourg",36976.5
"55",2009,"Hungary",94382.6
"56",2009,"Malta",6259.6
"57",2009,"Netherlands",624842
"58",2009,"Austria",288044
"59",2009,"Poland",317040.6
"60",2009,"Portugal",175416.4
"61",2009,"Romania",125213.9
"62",2009,"Slovenia",36254.9
"63",2009,"Slovakia",64095.5
"64",2009,"Finland",181747
"65",2009,"Sweden",314637.5
"66",2009,"United Kingdom",1738066.5
"67",2009,"Iceland",9426.4
"68",2009,"Norway",278246.6
"69",2009,"Switzerland",402236.6
"70",2009,"Montenegro",2993.9
"71",2009,"North Macedonia",6766.5
"72",2009,"Albania",8662.2
"73",2009,"Serbia",32486.2
"74",2009,"Turkey",465245.5
"75",2009,"Bosnia and Herzegovina",12679.3
"76",2009,"Kosovo",4069.6
"77",2010,"Belgium",363140.1
"78",2010,"Bulgaria",38058.1
"79",2010,"Czechia",157920.8
"80",2010,"Denmark",243165.4
"81",2010,"Germany",2564400
"82",2010,"Estonia",14860.7
"83",2010,"Ireland",167673.7
"84",2010,"Greece",224124
"85",2010,"Spain",1072709
"86",2010,"France",1995289
"87",2010,"Croatia",45195.1
"88",2010,"Italy",1611279.4
"89",2010,"Cyprus",19410
"90",2010,"Latvia",17872.8
"91",2010,"Lithuania",28033.8
"92",2010,"Luxembourg",40177.8
"93",2010,"Hungary",99576.3
"94",2010,"Malta",6815.8
"95",2010,"Netherlands",639187
"96",2010,"Austria",295896.6
"97",2010,"Poland",362190.9
"98",2010,"Portugal",179610.8
"99",2010,"Romania",125472.3
"100",2010,"Slovenia",36363.9
"101",2010,"Slovakia",68188.7
"102",2010,"Finland",188143
"103",2010,"Sweden",374695.2
"104",2010,"United Kingdom",1872175.5
"105",2010,"Iceland",10332.4
"106",2010,"Norway",323760.9
"107",2010,"Switzerland",455933.7
"108",2010,"Montenegro",3125.1
"109",2010,"North Macedonia",7108.3
"110",2010,"Albania",8996.6
"111",2010,"Serbia",31545.8
"112",2010,"Turkey",584855.7
"113",2010,"Bosnia and Herzegovina",12968.9
"114",2010,"Kosovo",4402
"115",2011,"Belgium",375967.8
"116",2011,"Bulgaria",41268.9
"117",2011,"Czechia",165202.2
"118",2011,"Denmark",247879.9
"119",2011,"Germany",2693560
"120",2011,"Estonia",16826.8
"121",2011,"Ireland",170950.9
"122",2011,"Greece",203308.2
"123",2011,"Spain",1063763
"124",2011,"France",2058369
"125",2011,"Croatia",44924.6
"126",2011,"Italy",1648755.8
"127",2011,"Cyprus",19803
"128",2011,"Latvia",20310.5
"129",2011,"Lithuania",31317.2
"130",2011,"Luxembourg",43164.6
"131",2011,"Hungary",102020.6
"132",2011,"Malta",6924.6
"133",2011,"Netherlands",650359
"134",2011,"Austria",310128.7
