"","Leto","Drzava","Placa"
"1",2008,"Iceland",3358
"2",2008,"Luxembourg",4051
"3",2008,"Norway",4149
"4",2008,"Austria",3410
"5",2008,"Ireland",3682
"6",2008,"Germany",3103
"7",2008,"Belgium",2936
"8",2008,"Finland",2876
"9",2008,"Sweden",2821
"10",2008,"United Kingdom",3172
"11",2008,"Spain",2014
"12",2008,"Cyprus",1801
"13",2008,"Slovenia",1391
"14",2008,"Estonia",825
"15",2008,"Czech Republic",906
"16",2008,"Portugal",1008
"17",2008,"Croatia",1044
"18",2008,"Poland",837
"19",2008,"Hungary",792
"20",2008,"Slovakia",773
"21",2008,"Latvia",682
"22",2008,"Romania",478
"23",2008,"Lithuania",623
"24",2008,"Montenegro",609
"25",2008,"Bosnia and Herzegovina",569
"26",2008,"Bulgaria",279
"27",2008,"Serbia",561
"28",2008,"North Macedonia",430
"29",2008,"Georgia",244
"30",2008,"Moldova",165
"31",2008,"Armenia",194
"32",2008,"Ukraine",234
"33",2008,"Azerbaijan",227
"34",2009,"Iceland",2461
"35",2009,"Denmark",5799
"36",2009,"Luxembourg",4168
"37",2009,"Norway",4044
"38",2009,"Austria",3492
"39",2009,"Ireland",3698
"40",2009,"Germany",3141
"41",2009,"Belgium",3027
"42",2009,"Finland",2971
"43",2009,"Sweden",2627
"44",2009,"United Kingdom",2904
"45",2009,"Spain",2065
"46",2009,"Cyprus",1870
"47",2009,"Slovenia",1439
"48",2009,"Estonia",784
"49",2009,"Czech Republic",883
"50",2009,"Portugal",1034
"51",2009,"Croatia",1051
"52",2009,"Poland",717
"53",2009,"Hungary",712
"54",2009,"Slovakia",745
"55",2009,"Latvia",655
"56",2009,"Romania",435
"57",2009,"Lithuania",596
"58",2009,"Montenegro",643
"59",2009,"Bosnia and Herzegovina",616
"60",2009,"Bulgaria",311
"61",2009,"Serbia",470
"62",2009,"North Macedonia",491
"63",2009,"Georgia",239
"64",2009,"Moldova",177
"65",2009,"Armenia",189
"66",2009,"Ukraine",175
"67",2009,"Azerbaijan",266
"68",2010,"Iceland",2662
"69",2010,"Denmark",4960
"70",2010,"Luxembourg",4276
"71",2010,"Norway",4584
"72",2010,"Austria",3540
"73",2010,"Ireland",3697
"74",2010,"Germany",3227
"75",2010,"Belgium",3103
"76",2010,"Finland",3040
"77",2010,"Sweden",2977
"78",2010,"United Kingdom",3021
"79",2010,"Spain",2126
"80",2010,"Cyprus",1915
"81",2010,"Slovenia",1495
"82",2010,"Estonia",792
"83",2010,"Czech Republic",944
"84",2010,"Portugal",1075
"85",2010,"Croatia",1054
"86",2010,"Poland",807
"87",2010,"Hungary",735
"88",2010,"Slovakia",769
"89",2010,"Latvia",633
"90",2010,"Romania",452
"91",2010,"Lithuania",576
"92",2010,"Montenegro",715
