"Bruto domaèi proizvod, statistiène regije, Slovenija, letno"

"MERITVE";"LETO";"SLOVENIJA";"Pomurska";"Podravska";"Koroška";"Savinjska";"Zasavska";"Posavska";"Jugovzhodna Slovenija";"Osrednjeslovenska";"Gorenjska";"Primorsko-notranjska";"Goriška";"Obalno-kraška"
"Mio EUR (fiksni teèaj 2007)";"2008";37926;1429;5035;1052;4231;675;1134;2554;13630;3191;709;2124;2162
"Mio EUR (fiksni teèaj 2007)";"2009";36255;1368;4770;961;3997;637;1095;2394;13330;2922;680;1994;2106
"Mio EUR (fiksni teèaj 2007)";"2010";36364;1358;4724;960;4083;642;1097;2415;13327;2984;658;1981;2134
"Mio EUR (fiksni teèaj 2007)";"2011";37059;1418;4832;1007;4209;644;1130;2451;13534;3055;666;1987;2126
"Mio EUR (fiksni teèaj 2007)";"2012";36253;1400;4714;1008;4123;608;1111;2372;13363;3003;643;1918;1991
"Mio EUR (fiksni teèaj 2007)";"2013";36454;1424;4723;1019;4125;610;1127;2405;13390;3103;663;1914;1950
"Mio EUR (fiksni teèaj 2007)";"2014";37634;1461;4920;1045;4239;599;1156;2468;13820;3268;693;1958;2008
"Mio EUR (fiksni teèaj 2007)";"2015";38853;1475;5016;1091;4426;588;1196;2555;14210;3392;738;2042;2123
"Mio EUR (fiksni teèaj 2007)";"2016";40367;1540;5157;1127;4581;600;1239;2632;14892;3494;770;2126;2208
"Mio EUR (fiksni teèaj 2007)";"2017";42987;1621;5425;1181;4862;627;1302;2898;15816;3784;793;2258;2420
"Mio EUR (fiksni teèaj 2007)";"2018";45755;1714;5749;1264;5115;661;1383;3104;16970;4041;829;2341;2584
"Struktura (Slovenija = 100%)";"2008";100.0;3.8;13.3;2.8;11.2;1.8;3.0;6.7;35.9;8.4;1.9;5.6;5.7
"Struktura (Slovenija = 100%)";"2009";100.0;3.8;13.2;2.7;11.0;1.8;3.0;6.6;36.8;8.1;1.9;5.5;5.8
"Struktura (Slovenija = 100%)";"2010";100.0;3.7;13.0;2.6;11.2;1.8;3.0;6.6;36.6;8.2;1.8;5.4;5.9
"Struktura (Slovenija = 100%)";"2011";100.0;3.8;13.0;2.7;11.4;1.7;3.1;6.6;36.5;8.2;1.8;5.4;5.7
"Struktura (Slovenija = 100%)";"2012";100.0;3.9;13.0;2.8;11.4;1.7;3.1;6.5;36.9;8.3;1.8;5.3;5.5
"Struktura (Slovenija = 100%)";"2013";100.0;3.9;13.0;2.8;11.3;1.7;3.1;6.6;36.7;8.5;1.8;5.3;5.3
"Struktura (Slovenija = 100%)";"2014";100.0;3.9;13.1;2.8;11.3;1.6;3.1;6.6;36.7;8.7;1.8;5.2;5.3
"Struktura (Slovenija = 100%)";"2015";100.0;3.8;12.9;2.8;11.4;1.5;3.1;6.6;36.6;8.7;1.9;5.3;5.5
"Struktura (Slovenija = 100%)";"2016";100.0;3.8;12.8;2.8;11.3;1.5;3.1;6.5;36.9;8.7;1.9;5.3;5.5
"Struktura (Slovenija = 100%)";"2017";100.0;3.8;12.6;2.7;11.3;1.5;3.0;6.7;36.8;8.8;1.8;5.3;5.6
"Struktura (Slovenija = 100%)";"2018";100.0;3.7;12.6;2.8;11.2;1.4;3.0;6.8;37.1;8.8;1.8;5.1;5.6
"Na prebivalca, EUR (tekoèi teèaj)";"2008";18757;11875;15697;14451;16778;11377;14964;18202;27172;15883;13686;17915;20086
"Na prebivalca, EUR (tekoèi teèaj)";"2009";17758;11435;14769;13201;15754;10734;14415;16870;26043;14437;13032;16756;19176
"Na prebivalca, EUR (tekoèi teèaj)";"2010";17749;11383;14632;13201;16070;10832;14422;16962;25783;14688;12603;16634;19274
"Na prebivalca, EUR (tekoèi teèaj)";"2011";18052;11899;14964;13882;16557;10904;14874;17187;26029;14995;12706;16668;19139
"Na prebivalca, EUR (tekoèi teèaj)";"2012";17626;11801;14591;13938;16186;10355;14600;16612;25555;14706;12254;16082;17840
"Na prebivalca, EUR (tekoèi teèaj)";"2013";17700;12095;14632;14157;16191;10457;14828;16864;25383;15215;12620;16079;17381
"Na prebivalca, EUR (tekoèi teèaj)";"2014";18253;12489;15229;14631;16673;10358;15266;17349;25940;16026;13186;16545;17813
"Na prebivalca, EUR (tekoèi teèaj)";"2015";18830;12667;15549;15319;17405;10213;15793;17948;26540;16630;14050;17276;18795
"Na prebivalca, EUR (tekoèi teèaj)";"2016";19551;13296;16038;15866;17973;10448;16365;18444;27681;17151;14638;18021;19507
"Na prebivalca, EUR (tekoèi teèaj)";"2017";20809;14062;16880;16681;19062;10948;17268;20305;29273;18579;15096;19184;21283
"Na prebivalca, EUR (tekoèi teèaj)";"2018";22083;14937;17838;17885;19987;11574;18314;21630;31169;19833;15837;19930;22627
