LETO;STATISTICNA_REGIJA;BDP
2008;Pomurska;11875
2008;Podravska;15697
2008;Koroška;14451
2008;Savinjska;16778
2008;Zasavska;11377
2008;Posavska;14964
2008;Jugovzhodna Slovenija;18202
2008;Osrednjeslovenska;27172
2008;Gorenjska;15883
2008;Primorsko-notranjska;13686
2008;Goriška;17915
2008;Obalno-kraška;20086
2009;Pomurska;11435
2009;Podravska;14769
2009;Koroška;13201
2009;Savinjska;15754
2009;Zasavska;10734
2009;Posavska;14415
2009;Jugovzhodna Slovenija;16870
2009;Osrednjeslovenska;26043
2009;Gorenjska;14437
2009;Primorsko-notranjska;13032
2009;Goriška;16756
2009;Obalno-kraška;19176
2010;Pomurska;11383
2010;Podravska;14632
2010;Koroška;13201
2010;Savinjska;16070
2010;Zasavska;10832
2010;Posavska;14422
2010;Jugovzhodna Slovenija;16962
2010;Osrednjeslovenska;25783
2010;Gorenjska;14688
2010;Primorsko-notranjska;12603
2010;Goriška;16634
2010;Obalno-kraška;19274
2011;Pomurska;11899
2011;Podravska;14964
2011;Koroška;13882
2011;Savinjska;16557
2011;Zasavska;10904
2011;Posavska;14874
2011;Jugovzhodna Slovenija;17187
2011;Osrednjeslovenska;26029
2011;Gorenjska;14995
2011;Primorsko-notranjska;12706
2011;Goriška;16668
2011;Obalno-kraška;19139
2012;Pomurska;11801
2012;Podravska;14591
2012;Koroška;13938
2012;Savinjska;16186
2012;Zasavska;10355
2012;Posavska;14600
2012;Jugovzhodna Slovenija;16612
2012;Osrednjeslovenska;25555
2012;Gorenjska;14706
2012;Primorsko-notranjska;12254
2012;Goriška;16082
2012;Obalno-kraška;17840
2013;Pomurska;12095
2013;Podravska;14632
2013;Koroška;14157
2013;Savinjska;16191
2013;Zasavska;10457
2013;Posavska;14828
2013;Jugovzhodna Slovenija;16864
2013;Osrednjeslovenska;25383
2013;Gorenjska;15215
2013;Primorsko-notranjska;12620
2013;Goriška;16079
2013;Obalno-kraška;17381
2014;Pomurska;12489
2014;Podravska;15229
2014;Koroška;14631
2014;Savinjska;16673
2014;Zasavska;10358
2014;Posavska;15266
2014;Jugovzhodna Slovenija;17349
2014;Osrednjeslovenska;25940
2014;Gorenjska;16026
2014;Primorsko-notranjska;13186
2014;Goriška;16545
2014;Obalno-kraška;17813
2015;Pomurska;12667
2015;Podravska;15549
2015;Koroška;15319
2015;Savinjska;17405
2015;Zasavska;10213
2015;Posavska;15793
2015;Jugovzhodna Slovenija;17948
2015;Osrednjeslovenska;26540
2015;Gorenjska;16630
2015;Primorsko-notranjska;14050
2015;Goriška;17276
2015;Obalno-kraška;18795
2016;Pomurska;13296
2016;Podravska;16038
2016;Koroška;15866
2016;Savinjska;17973
2016;Zasavska;10448
2016;Posavska;16365
2016;Jugovzhodna Slovenija;18444
2016;Osrednjeslovenska;27681
2016;Gorenjska;17151
2016;Primorsko-notranjska;14638
2016;Goriška;18021
2016;Obalno-kraška;19507
2017;Pomurska;14062
2017;Podravska;16880
2017;Koroška;16681
2017;Savinjska;19062
2017;Zasavska;10948
2017;Posavska;17268
2017;Jugovzhodna Slovenija;20305
2017;Osrednjeslovenska;29273
2017;Gorenjska;18579
2017;Primorsko-notranjska;15096
2017;Goriška;19184
2017;Obalno-kraška;21283
2018;Pomurska;14937
2018;Podravska;17838
2018;Koroška;17885
2018;Savinjska;19987
2018;Zasavska;11574
2018;Posavska;18314
2018;Jugovzhodna Slovenija;21630
2018;Osrednjeslovenska;31169
2018;Gorenjska;19833
2018;Primorsko-notranjska;15837
2018;Goriška;19930
2018;Obalno-kraška;22627
