"Bruto domaèi proizvod, statistiène regije, Slovenija, letno"

"MERITVE";"LETO";"STATISTIÈNA REGIJA";Bruto domaèi proizvod
"Mio EUR (fiksni teèaj 2007)";"2008";"Pomurska";1429
"Mio EUR (fiksni teèaj 2007)";"2008";"Podravska";5035
"Mio EUR (fiksni teèaj 2007)";"2008";"Koroška";1052
"Mio EUR (fiksni teèaj 2007)";"2008";"Savinjska";4231
"Mio EUR (fiksni teèaj 2007)";"2008";"Zasavska";675
"Mio EUR (fiksni teèaj 2007)";"2008";"Posavska";1134
"Mio EUR (fiksni teèaj 2007)";"2008";"Jugovzhodna Slovenija";2554
"Mio EUR (fiksni teèaj 2007)";"2008";"Osrednjeslovenska";13630
"Mio EUR (fiksni teèaj 2007)";"2008";"Gorenjska";3191
"Mio EUR (fiksni teèaj 2007)";"2008";"Primorsko-notranjska";709
"Mio EUR (fiksni teèaj 2007)";"2008";"Goriška";2124
"Mio EUR (fiksni teèaj 2007)";"2008";"Obalno-kraška";2162
"Mio EUR (fiksni teèaj 2007)";"2009";"Pomurska";1368
"Mio EUR (fiksni teèaj 2007)";"2009";"Podravska";4770
"Mio EUR (fiksni teèaj 2007)";"2009";"Koroška";961
"Mio EUR (fiksni teèaj 2007)";"2009";"Savinjska";3997
"Mio EUR (fiksni teèaj 2007)";"2009";"Zasavska";637
"Mio EUR (fiksni teèaj 2007)";"2009";"Posavska";1095
"Mio EUR (fiksni teèaj 2007)";"2009";"Jugovzhodna Slovenija";2394
"Mio EUR (fiksni teèaj 2007)";"2009";"Osrednjeslovenska";13330
"Mio EUR (fiksni teèaj 2007)";"2009";"Gorenjska";2922
"Mio EUR (fiksni teèaj 2007)";"2009";"Primorsko-notranjska";680
"Mio EUR (fiksni teèaj 2007)";"2009";"Goriška";1994
"Mio EUR (fiksni teèaj 2007)";"2009";"Obalno-kraška";2106
"Mio EUR (fiksni teèaj 2007)";"2010";"Pomurska";1358
"Mio EUR (fiksni teèaj 2007)";"2010";"Podravska";4724
"Mio EUR (fiksni teèaj 2007)";"2010";"Koroška";960
"Mio EUR (fiksni teèaj 2007)";"2010";"Savinjska";4083
"Mio EUR (fiksni teèaj 2007)";"2010";"Zasavska";642
"Mio EUR (fiksni teèaj 2007)";"2010";"Posavska";1097
"Mio EUR (fiksni teèaj 2007)";"2010";"Jugovzhodna Slovenija";2415
"Mio EUR (fiksni teèaj 2007)";"2010";"Osrednjeslovenska";13327
"Mio EUR (fiksni teèaj 2007)";"2010";"Gorenjska";2984
"Mio EUR (fiksni teèaj 2007)";"2010";"Primorsko-notranjska";658
"Mio EUR (fiksni teèaj 2007)";"2010";"Goriška";1981
"Mio EUR (fiksni teèaj 2007)";"2010";"Obalno-kraška";2134
"Mio EUR (fiksni teèaj 2007)";"2011";"Pomurska";1418
"Mio EUR (fiksni teèaj 2007)";"2011";"Podravska";4832
"Mio EUR (fiksni teèaj 2007)";"2011";"Koroška";1007
