"","Leto","Drzava","BDP_na_prebivalca"
"1",2008,"Belgium",32840
"2",2008,"Bulgaria",4880
"3",2008,"Czechia",15540
"4",2008,"Denmark",43990
"5",2008,"Germany",31530
"6",2008,"Estonia",12430
"7",2008,"Ireland",41730
"8",2008,"Greece",21840
"9",2008,"Spain",24130
"10",2008,"France",30960
"11",2008,"Croatia",11130
"12",2008,"Italy",27640
"13",2008,"Cyprus",24170
"14",2008,"Latvia",11230
"15",2008,"Lithuania",10210
"16",2008,"Luxembourg",77940
"17",2008,"Hungary",10780
"18",2008,"Malta",15160
"19",2008,"Netherlands",39350
"20",2008,"Austria",35300
"21",2008,"Poland",9600
"22",2008,"Portugal",16960
"23",2008,"Romania",7140
"24",2008,"Slovenia",18760
"25",2008,"Slovakia",12230
"26",2008,"Finland",36560
"27",2008,"Sweden",38490
"28",2008,"United Kingdom",32280
"29",2008,"Iceland",34280
"30",2008,"Norway",66490
"31",2008,"Switzerland",50590
"32",2008,"Montenegro",5030
"33",2008,"North Macedonia",3310
"34",2008,"Albania",2990
"35",2008,"Serbia",4860
"36",2008,"Turkey",7400
"37",2009,"Belgium",32090
"38",2009,"Bulgaria",4930
"39",2009,"Czechia",14260
"40",2009,"Denmark",41880
"41",2009,"Germany",30390
"42",2009,"Estonia",10640
"43",2009,"Ireland",37400
"44",2009,"Greece",21390
"45",2009,"Spain",23060
"46",2009,"France",29930
"47",2009,"Croatia",10460
"48",2009,"Italy",26470
"49",2009,"Cyprus",23110
"50",2009,"Latvia",8800
"51",2009,"Lithuania",8500
"52",2009,"Luxembourg",74220
"53",2009,"Hungary",9420
"54",2009,"Malta",15180
"55",2009,"Netherlands",37800
"56",2009,"Austria",34530
"57",2009,"Poland",8240
"58",2009,"Portugal",16600
"59",2009,"Romania",6150
"60",2009,"Slovenia",17760
"61",2009,"Slovakia",11830
"62",2009,"Finland",34040
"63",2009,"Sweden",33840
"64",2009,"United Kingdom",27920
"65",2009,"Iceland",29530
"66",2009,"Norway",57620
"67",2009,"Switzerland",51710
"68",2009,"Montenegro",4840
"69",2009,"North Macedonia",3300
"70",2009,"Albania",2960
"71",2009,"Serbia",4440
"72",2009,"Turkey",6460
"73",2010,"Belgium",33330
"74",2010,"Bulgaria",5050
"75",2010,"Czechia",15020
"76",2010,"Denmark",43840
"77",2010,"Germany",31940
"78",2010,"Estonia",11150
"79",2010,"Ireland",36770
"80",2010,"Greece",20150
"81",2010,"Spain",23040
"82",2010,"France",30690
"83",2010,"Croatia",10520
"84",2010,"Italy",26930
"85",2010,"Cyprus",23400
"86",2010,"Latvia",8520
"87",2010,"Lithuania",9050
"88",2010,"Luxembourg",79160
"89",2010,"Hungary",9960
"90",2010,"Malta",16440
"91",2010,"Netherlands",38470
"92",2010,"Austria",35390
"93",2010,"Poland",9400
"94",2010,"Portugal",16990
"95",2010,"Romania",6200
"96",2010,"Slovenia",17750
"97",2010,"Slovakia",12560
"98",2010,"Finland",35080
"99",2010,"Sweden",39950
"100",2010,"United Kingdom",29830
"101",2010,"Iceland",32490
"102",2010,"Norway",66220
"103",2010,"Switzerland",58170
"104",2010,"Montenegro",5050
"105",2010,"North Macedonia",3460
"106",2010,"Albania",3090
"107",2010,"Serbia",4330
"108",2010,"Turkey",8000
"109",2011,"Belgium",34060
"110",2011,"Bulgaria",5620
"111",2011,"Czechia",15740
"112",2011,"Denmark",44500
"113",2011,"Germany",33550
"114",2011,"Estonia",12650
"115",2011,"Ireland",37340
"116",2011,"Greece",18310
"117",2011,"Spain",22760
"118",2011,"France",31510
"119",2011,"Croatia",10490
"120",2011,"Italy",27450
"121",2011,"Cyprus",23270
"122",2011,"Latvia",9870
"123",2011,"Lithuania",10340
"124",2011,"Luxembourg",83100
"125",2011,"Hungary",10230
"126",2011,"Malta",16630
"127",2011,"Netherlands",38960
"128",2011,"Austria",36970
"129",2011,"Poland",9860
"130",2011,"Portugal",16680
"131",2011,"Romania",6540
"132",2011,"Slovenia",18050
"133",2011,"Slovakia",13210
"134",2011,"Finland",36750
"135",2011,"Sweden",43690
"136",2011,"United Kingdom",30230
"137",2011,"Iceland",34130
"138",2011,"Norway",72350
"139",2011,"Switzerland",65750
"140",2011,"Montenegro",5270
"141",2011,"North Macedonia",3660
"142",2011,"Albania",3190
"143",2011,"Serbia",4900
"144",2011,"Turkey",8100
"145",2012,"Belgium",34770
"146",2012,"Bulgaria",5760
"147",2012,"Czechia",15470
"148",2012,"Denmark",45530
"149",2012,"Germany",34130
"150",2012,"Estonia",13620
"151",2012,"Ireland",38090
"152",2012,"Greece",17060
"153",2012,"Spain",22050
"154",2012,"France",31820
"155",2012,"Croatia",10310
"156",2012,"Italy",26920
"157",2012,"Cyprus",22500
"158",2012,"Latvia",10930
"159",2012,"Lithuania",11180
"160",2012,"Luxembourg",83000
"161",2012,"Hungary",10080
"162",2012,"Malta",17530
"163",2012,"Netherlands",38970
"164",2012,"Austria",37820
"165",2012,"Poland",10070
"166",2012,"Portugal",16010
"167",2012,"Romania",6620
"168",2012,"Slovenia",17630
"169",2012,"Slovakia",13610
"170",2012,"Finland",37130
"171",2012,"Sweden",45170
"172",2012,"United Kingdom",33140
"173",2012,"Iceland",35730
"174",2012,"Norway",79000
"175",2012,"Switzerland",67330
"176",2012,"Montenegro",5130
"177",2012,"North Macedonia",3680
"178",2012,"Albania",3300
"179",2012,"Serbia",4680
"180",2012,"Turkey",9090
"181",2013,"Belgium",35210
"182",2013,"Bulgaria",5770
"183",2013,"Czechia",15170
"184",2013,"Denmark",46100
"185",2013,"Germany",34860
"186",2013,"Estonia",14420
"187",2013,"Ireland",38880
"188",2013,"Greece",16380
"189",2013,"Spain",21900
"190",2013,"France",32080
"191",2013,"Croatia",10300
"192",2013,"Italy",26590
"193",2013,"Cyprus",20880
"194",2013,"Latvia",11410
"195",2013,"Lithuania",11850
"196",2013,"Luxembourg",85270
"197",2013,"Hungary",10310
"198",2013,"Malta",18650
"199",2013,"Netherlands",39300
"200",2013,"Austria",38210
"201",2013,"Poland",10190
"202",2013,"Portugal",16300
"203",2013,"Romania",7190
"204",2013,"Slovenia",17700
"205",2013,"Slovakia",13750
"206",2013,"Finland",37570
"207",2013,"Sweden",46020
"208",2013,"United Kingdom",32700
"209",2013,"Iceland",37260
"210",2013,"Liechtenstein",128380
"211",2013,"Norway",77440
"212",2013,"Switzerland",66340
"213",2013,"Montenegro",5410
"214",2013,"North Macedonia",3950
"215",2013,"Albania",3320
"216",2013,"Serbia",5080
