"Povpreène meseène bruto plaèe (EUR) po statistiènih regijah prebivališèa, starostnih skupinah in spolu, Slovenija, letno"

"LETO";"STATISTIÈNA REGIJA";"15-24 let Moški";"15-24 let Ženske";"25-34 let Moški";"25-34 let Ženske";"35-44 let Moški";"35-44 let Ženske";"45-54 let Moški";"45-54 let Ženske";"55-64 let Moški";"55-64 let Ženske";"65 let ali veè Moški";"65 let ali veè Ženske"
"2008";"Pomurska";899;838;1161;1067;1275;1105;1327;1192;1394;1576;3924;z
"2008";"Podravska";900;808;1229;1136;1425;1280;1446;1367;1675;1743;4086;3053
"2008";"Koroška";954;811;1220;1088;1395;1232;1466;1359;1687;1722;3575;z
"2008";"Savinjska";891;838;1220;1121;1402;1240;1486;1324;1678;1695;3668;z
"2008";"Zasavska";900;843;1243;1176;1484;1227;1495;1296;1589;1738;z;-
"2008";"Posavska";943;869;1230;1126;1374;1262;1504;1297;1614;1765;3924;z
"2008";"Jugovzhodna Slovenija";935;909;1269;1177;1426;1335;1486;1385;1651;2018;5253;z
"2008";"Osrednjeslovenska";920;907;1423;1352;1756;1600;1729;1601;1963;2079;4176;3197
"2008";"Gorenjska";956;875;1340;1203;1623;1370;1567;1413;1738;1830;4158;2621
"2008";"Primorsko-notranjska";885;834;1218;1156;1399;1238;1437;1317;1590;1656;3902;z
"2008";"Goriška";898;868;1273;1201;1533;1332;1580;1397;1798;1769;3804;z
"2008";"Obalno-kraška";859;861;1278;1225;1583;1428;1630;1440;1792;1709;3486;z
"2009";"Pomurska";920;854;1180;1146;1355;1322;1416;1447;1537;1832;3721;z
"2009";"Podravska";893;860;1239;1187;1445;1356;1474;1457;1696;1844;4416;3615
"2009";"Koroška";930;865;1208;1105;1398;1290;1453;1433;1707;1829;4018;z
"2009";"Savinjska";884;874;1224;1174;1416;1299;1504;1391;1651;1766;3713;z
"2009";"Zasavska";902;870;1264;1224;1504;1300;1514;1399;1638;1797;z;-
"2009";"Posavska";956;903;1225;1188;1395;1327;1536;1374;1641;1877;4246;z
"2009";"Jugovzhodna Slovenija";932;966;1252;1218;1442;1390;1496;1464;1670;2137;4470;z
"2009";"Osrednjeslovenska";935;940;1430;1387;1792;1693;1782;1707;2029;2203;4421;3616
"2009";"Gorenjska";942;902;1330;1241;1628;1450;1581;1483;1749;1910;3773;2481
"2009";"Primorsko-notranjska";880;856;1238;1218;1434;1342;1451;1416;1635;1701;4079;-
"2009";"Goriška";873;868;1256;1235;1547;1389;1580;1474;1834;1941;4703;z
"2009";"Obalno-kraška";876;897;1282;1252;1622;1514;1665;1532;1841;1821;3303;z
"2010";"Pomurska";938;902;1211;1180;1380;1291;1437;1425;1614;1922;3302;z
"2010";"Podravska";952;918;1279;1234;1509;1407;1524;1505;1782;1891;4331;3487
"2010";"Koroška";1005;914;1253;1183;1465;1407;1535;1512;1757;1937;z;z
"2010";"Savinjska";969;944;1297;1217;1494;1363;1578;1443;1776;1860;3901;z
"2010";"Zasavska";986;911;1302;1277;1556;1381;1591;1435;1748;1768;z;z
"2010";"Posavska";992;926;1278;1270;1456;1368;1548;1461;1812;1890;z;z
"2010";"Jugovzhodna Slovenija";1005;1014;1334;1279;1531;1472;1607;1552;1781;2145;3398;z
"2010";"Osrednjeslovenska";1000;978;1481;1426;1866;1749;1851;1761;2137;2242;4394;3207
"2010";"Gorenjska";1001;947;1385;1293;1697;1500;1653;1537;1830;1968;4307;z
"2010";"Primorsko-notranjska";946;950;1273;1244;1471;1353;1481;1444;1665;1718;3543;-
"2010";"Goriška";946;915;1309;1254;1599;1444;1639;1538;1914;1972;4225;z
"2010";"Obalno-kraška";938;943;1322;1296;1661;1535;1725;1580;1887;1904;3389;z
"2011";"Pomurska";996;946;1250;1220;1436;1352;1489;1463;1640;1858;3803;z
"2011";"Podravska";995;956;1312;1258;1568;1441;1593;1511;1830;1891;4162;3811
"2011";"Koroška";1078;951;1306;1194;1536;1437;1582;1523;1786;1918;3768;z
"2011";"Savinjska";1037;994;1329;1248;1548;1401;1612;1463;1822;1826;3863;z
"2011";"Zasavska";1040;960;1319;1272;1627;1425;1629;1462;1825;1795;z;z
"2011";"Posavska";1064;1000;1341;1310;1526;1425;1616;1479;1901;1879;3877;z
"2011";"Jugovzhodna Slovenija";1049;1069;1382;1327;1563;1516;1648;1599;1798;2101;4144;z
"2011";"Osrednjeslovenska";1044;1011;1499;1436;1907;1783;1900;1804;2164;2206;4228;3048
"2011";"Gorenjska";1058;986;1418;1305;1728;1541;1723;1555;1858;1968;3657;z
"2011";"Primorsko-notranjska";996;986;1306;1286;1517;1394;1549;1480;1751;1768;3152;-
"2011";"Goriška";1004;950;1325;1273;1633;1462;1705;1547;1952;1959;4052;z
"2011";"Obalno-kraška";1022;971;1370;1310;1719;1571;1779;1618;1923;1875;3836;3535
"2012";"Pomurska";996;938;1264;1226;1454;1352;1510;1426;1653;1779;z;z
"2012";"Podravska";1009;959;1323;1272;1600;1461;1622;1528;1821;1879;3976;4028
"2012";"Koroška";1077;980;1316;1204;1540;1424;1614;1541;1813;1949;3753;z
"2012";"Savinjska";1081;1019;1339;1258;1585;1420;1651;1475;1819;1823;3741;z
"2012";"Zasavska";1020;997;1321;1267;1620;1454;1617;1448;1884;1840;z;z
"2012";"Posavska";1101;1005;1371;1291;1555;1438;1620;1496;1927;1862;3714;z
"2012";"Jugovzhodna Slovenija";1071;1063;1400;1333;1597;1554;1703;1614;1808;2140;3888;z
"2012";"Osrednjeslovenska";1051;1005;1507;1436;1948;1804;1929;1815;2167;2187;4108;3612
"2012";"Gorenjska";1067;993;1427;1326;1766;1565;1748;1558;1896;1964;4267;z
"2012";"Primorsko-notranjska";1043;1016;1317;1281;1557;1435;1585;1492;1744;1787;3877;z
"2012";"Goriška";1029;955;1335;1258;1626;1463;1686;1544;1964;1943;4096;z
"2012";"Obalno-kraška";1028;987;1388;1307;1743;1576;1792;1611;1968;1868;3602;3123
"2013";"Pomurska";1005;926;1248;1206;1451;1331;1486;1400;1626;1687;z;z
"2013";"Podravska";1024;955;1318;1256;1601;1464;1631;1517;1800;1761;3596;3760
"2013";"Koroška";1090;910;1325;1191;1547;1435;1615;1522;1816;1859;3651;z
"2013";"Savinjska";1094;992;1330;1254;1579;1427;1651;1465;1808;1742;3941;3691
"2013";"Zasavska";1050;1041;1330;1263;1601;1463;1596;1438;1867;1789;z;z
"2013";"Posavska";1091;1042;1389;1303;1534;1440;1595;1480;1840;1797;4209;z
"2013";"Jugovzhodna Slovenija";1090;1114;1393;1340;1600;1547;1686;1578;1767;2013;4304;z
"2013";"Osrednjeslovenska";1067;1012;1489;1423;1933;1796;1938;1799;2103;2097;3885;3638
"2013";"Gorenjska";1088;979;1414;1306;1759;1553;1754;1546;1868;1848;3842;z
"2013";"Primorsko-notranjska";1043;934;1325;1265;1554;1440;1561;1489;1729;1704;4362;z
"2013";"Goriška";1026;927;1340;1243;1598;1449;1659;1508;1878;1838;3692;z
"2013";"Obalno-kraška";1036;982;1362;1280;1712;1584;1812;1618;1919;1798;3564;3810
"2014";"Pomurska";1010;948;1278;1207;1514;1390;1555;1498;1674;1735;3820;z
"2014";"Podravska";1055;950;1346;1263;1624;1483;1681;1545;1787;1754;3666;3379
"2014";"Koroška";1138;878;1359;1202;1584;1443;1666;1551;1814;1818;4235;z
"2014";"Savinjska";1122;995;1362;1270;1629;1464;1690;1498;1823;1713;3513;3329
"2014";"Zasavska";1041;982;1370;1281;1631;1490;1615;1463;1816;1742;z;z
"2014";"Posavska";1104;1143;1432;1318;1591;1482;1640;1507;1857;1803;3793;z
"2014";"Jugovzhodna Slovenija";1130;1186;1447;1378;1671;1592;1728;1635;1824;1996;3736;z
"2014";"Osrednjeslovenska";1112;1006;1506;1434;1946;1828;1964;1843;2081;2089;3665;3426
"2014";"Gorenjska";1134;1004;1438;1318;1791;1586;1822;1577;1860;1840;3341;z
"2014";"Primorsko-notranjska";1042;979;1355;1269;1588;1476;1619;1499;1784;1702;3388;z
"2014";"Goriška";1045;928;1354;1249;1650;1492;1697;1534;1917;1809;3321;z
"2014";"Obalno-kraška";1084;992;1382;1291;1773;1603;1854;1649;1953;1827;3448;4068
"2015";"Pomurska";z;z;1293;1215;1520;1400;1561;1478;1655;1702;z;z
"2015";"Podravska";1072;965;1348;1246;1634;1484;1695;1539;1799;1762;3733;3381
