"Povpreène meseène bruto plaèe (EUR) po statistiènih regijah prebivališèa, starostnih skupinah in spolu, Slovenija, letno"

"LETO";"STATISTIÈNA REGIJA";"STAROST";"SPOL";Povpreène meseène bruto plaèe (EUR)
"2008";"Pomurska";"15-24 let";"Moški";899
"2008";"Pomurska";"15-24 let";"Ženske";838
"2008";"Pomurska";"25-34 let";"Moški";1161
"2008";"Pomurska";"25-34 let";"Ženske";1067
"2008";"Pomurska";"35-44 let";"Moški";1275
"2008";"Pomurska";"35-44 let";"Ženske";1105
"2008";"Pomurska";"45-54 let";"Moški";1327
"2008";"Pomurska";"45-54 let";"Ženske";1192
"2008";"Pomurska";"55-64 let";"Moški";1394
"2008";"Pomurska";"55-64 let";"Ženske";1576
"2008";"Pomurska";"65 let ali veè";"Moški";3924
"2008";"Pomurska";"65 let ali veè";"Ženske";z
"2008";"Podravska";"15-24 let";"Moški";900
"2008";"Podravska";"15-24 let";"Ženske";808
"2008";"Podravska";"25-34 let";"Moški";1229
"2008";"Podravska";"25-34 let";"Ženske";1136
"2008";"Podravska";"35-44 let";"Moški";1425
"2008";"Podravska";"35-44 let";"Ženske";1280
"2008";"Podravska";"45-54 let";"Moški";1446
"2008";"Podravska";"45-54 let";"Ženske";1367
"2008";"Podravska";"55-64 let";"Moški";1675
"2008";"Podravska";"55-64 let";"Ženske";1743
"2008";"Podravska";"65 let ali veè";"Moški";4086
"2008";"Podravska";"65 let ali veè";"Ženske";3053
"2008";"Koroška";"15-24 let";"Moški";954
"2008";"Koroška";"15-24 let";"Ženske";811
"2008";"Koroška";"25-34 let";"Moški";1220
"2008";"Koroška";"25-34 let";"Ženske";1088
"2008";"Koroška";"35-44 let";"Moški";1395
"2008";"Koroška";"35-44 let";"Ženske";1232
"2008";"Koroška";"45-54 let";"Moški";1466
"2008";"Koroška";"45-54 let";"Ženske";1359
"2008";"Koroška";"55-64 let";"Moški";1687
"2008";"Koroška";"55-64 let";"Ženske";1722
"2008";"Koroška";"65 let ali veè";"Moški";3575
"2008";"Koroška";"65 let ali veè";"Ženske";z
"2008";"Savinjska";"15-24 let";"Moški";891
"2008";"Savinjska";"15-24 let";"Ženske";838
"2008";"Savinjska";"25-34 let";"Moški";1220
"2008";"Savinjska";"25-34 let";"Ženske";1121
"2008";"Savinjska";"35-44 let";"Moški";1402
"2008";"Savinjska";"35-44 let";"Ženske";1240
"2008";"Savinjska";"45-54 let";"Moški";1486
"2008";"Savinjska";"45-54 let";"Ženske";1324
"2008";"Savinjska";"55-64 let";"Moški";1678
"2008";"Savinjska";"55-64 let";"Ženske";1695
"2008";"Savinjska";"65 let ali veè";"Moški";3668
"2008";"Savinjska";"65 let ali veè";"Ženske";z
"2008";"Zasavska";"15-24 let";"Moški";900
"2008";"Zasavska";"15-24 let";"Ženske";843
"2008";"Zasavska";"25-34 let";"Moški";1243
"2008";"Zasavska";"25-34 let";"Ženske";1176
"2008";"Zasavska";"35-44 let";"Moški";1484
"2008";"Zasavska";"35-44 let";"Ženske";1227
"2008";"Zasavska";"45-54 let";"Moški";1495
"2008";"Zasavska";"45-54 let";"Ženske";1296
"2008";"Zasavska";"55-64 let";"Moški";1589
"2008";"Zasavska";"55-64 let";"Ženske";1738
"2008";"Zasavska";"65 let ali veè";"Moški";z
"2008";"Zasavska";"65 let ali veè";"Ženske";-
"2008";"Posavska";"15-24 let";"Moški";943
"2008";"Posavska";"15-24 let";"Ženske";869
"2008";"Posavska";"25-34 let";"Moški";1230
"2008";"Posavska";"25-34 let";"Ženske";1126
"2008";"Posavska";"35-44 let";"Moški";1374
"2008";"Posavska";"35-44 let";"Ženske";1262
"2008";"Posavska";"45-54 let";"Moški";1504
"2008";"Posavska";"45-54 let";"Ženske";1297
"2008";"Posavska";"55-64 let";"Moški";1614
"2008";"Posavska";"55-64 let";"Ženske";1765
"2008";"Posavska";"65 let ali veè";"Moški";3924
"2008";"Posavska";"65 let ali veè";"Ženske";z
"2008";"Jugovzhodna Slovenija";"15-24 let";"Moški";935
"2008";"Jugovzhodna Slovenija";"15-24 let";"Ženske";909
"2008";"Jugovzhodna Slovenija";"25-34 let";"Moški";1269
"2008";"Jugovzhodna Slovenija";"25-34 let";"Ženske";1177
"2008";"Jugovzhodna Slovenija";"35-44 let";"Moški";1426
"2008";"Jugovzhodna Slovenija";"35-44 let";"Ženske";1335
"2008";"Jugovzhodna Slovenija";"45-54 let";"Moški";1486
"2008";"Jugovzhodna Slovenija";"45-54 let";"Ženske";1385
"2008";"Jugovzhodna Slovenija";"55-64 let";"Moški";1651
"2008";"Jugovzhodna Slovenija";"55-64 let";"Ženske";2018
"2008";"Jugovzhodna Slovenija";"65 let ali veè";"Moški";5253
"2008";"Jugovzhodna Slovenija";"65 let ali veè";"Ženske";z
"2008";"Osrednjeslovenska";"15-24 let";"Moški";920
"2008";"Osrednjeslovenska";"15-24 let";"Ženske";907
"2008";"Osrednjeslovenska";"25-34 let";"Moški";1423
"2008";"Osrednjeslovenska";"25-34 let";"Ženske";1352
"2008";"Osrednjeslovenska";"35-44 let";"Moški";1756
"2008";"Osrednjeslovenska";"35-44 let";"Ženske";1600
"2008";"Osrednjeslovenska";"45-54 let";"Moški";1729
"2008";"Osrednjeslovenska";"45-54 let";"Ženske";1601
"2008";"Osrednjeslovenska";"55-64 let";"Moški";1963
"2008";"Osrednjeslovenska";"55-64 let";"Ženske";2079
"2008";"Osrednjeslovenska";"65 let ali veè";"Moški";4176
"2008";"Osrednjeslovenska";"65 let ali veè";"Ženske";3197
"2008";"Gorenjska";"15-24 let";"Moški";956
"2008";"Gorenjska";"15-24 let";"Ženske";875
"2008";"Gorenjska";"25-34 let";"Moški";1340
"2008";"Gorenjska";"25-34 let";"Ženske";1203
"2008";"Gorenjska";"35-44 let";"Moški";1623
"2008";"Gorenjska";"35-44 let";"Ženske";1370
"2008";"Gorenjska";"45-54 let";"Moški";1567
"2008";"Gorenjska";"45-54 let";"Ženske";1413
"2008";"Gorenjska";"55-64 let";"Moški";1738
"2008";"Gorenjska";"55-64 let";"Ženske";1830
"2008";"Gorenjska";"65 let ali veè";"Moški";4158
"2008";"Gorenjska";"65 let ali veè";"Ženske";2621
"2008";"Primorsko-notranjska";"15-24 let";"Moški";885
"2008";"Primorsko-notranjska";"15-24 let";"Ženske";834
"2008";"Primorsko-notranjska";"25-34 let";"Moški";1218
"2008";"Primorsko-notranjska";"25-34 let";"Ženske";1156
"2008";"Primorsko-notranjska";"35-44 let";"Moški";1399
"2008";"Primorsko-notranjska";"35-44 let";"Ženske";1238
"2008";"Primorsko-notranjska";"45-54 let";"Moški";1437
"2008";"Primorsko-notranjska";"45-54 let";"Ženske";1317
"2008";"Primorsko-notranjska";"55-64 let";"Moški";1590
"2008";"Primorsko-notranjska";"55-64 let";"Ženske";1656
"2008";"Primorsko-notranjska";"65 let ali veè";"Moški";3902
"2008";"Primorsko-notranjska";"65 let ali veè";"Ženske";z
"2008";"Goriška";"15-24 let";"Moški";898
"2008";"Goriška";"15-24 let";"Ženske";868
"2008";"Goriška";"25-34 let";"Moški";1273
"2008";"Goriška";"25-34 let";"Ženske";1201
"2008";"Goriška";"35-44 let";"Moški";1533
"2008";"Goriška";"35-44 let";"Ženske";1332
"2008";"Goriška";"45-54 let";"Moški";1580
"2008";"Goriška";"45-54 let";"Ženske";1397
"2008";"Goriška";"55-64 let";"Moški";1798
"2008";"Goriška";"55-64 let";"Ženske";1769
"2008";"Goriška";"65 let ali veè";"Moški";3804
"2008";"Goriška";"65 let ali veè";"Ženske";z
"2008";"Obalno-kraška";"15-24 let";"Moški";859
"2008";"Obalno-kraška";"15-24 let";"Ženske";861
"2008";"Obalno-kraška";"25-34 let";"Moški";1278
"2008";"Obalno-kraška";"25-34 let";"Ženske";1225
"2008";"Obalno-kraška";"35-44 let";"Moški";1583
"2008";"Obalno-kraška";"35-44 let";"Ženske";1428
"2008";"Obalno-kraška";"45-54 let";"Moški";1630
"2008";"Obalno-kraška";"45-54 let";"Ženske";1440
"2008";"Obalno-kraška";"55-64 let";"Moški";1792
"2008";"Obalno-kraška";"55-64 let";"Ženske";1709
"2008";"Obalno-kraška";"65 let ali veè";"Moški";3486
"2008";"Obalno-kraška";"65 let ali veè";"Ženske";z
"2009";"Pomurska";"15-24 let";"Moški";920
"2009";"Pomurska";"15-24 let";"Ženske";854
"2009";"Pomurska";"25-34 let";"Moški";1180
"2009";"Pomurska";"25-34 let";"Ženske";1146
"2009";"Pomurska";"35-44 let";"Moški";1355
"2009";"Pomurska";"35-44 let";"Ženske";1322
"2009";"Pomurska";"45-54 let";"Moški";1416
"2009";"Pomurska";"45-54 let";"Ženske";1447
"2009";"Pomurska";"55-64 let";"Moški";1537
"2009";"Pomurska";"55-64 let";"Ženske";1832
"2009";"Pomurska";"65 let ali veè";"Moški";3721
"2009";"Pomurska";"65 let ali veè";"Ženske";z
"2009";"Podravska";"15-24 let";"Moški";893
"2009";"Podravska";"15-24 let";"Ženske";860
"2009";"Podravska";"25-34 let";"Moški";1239
"2009";"Podravska";"25-34 let";"Ženske";1187
"2009";"Podravska";"35-44 let";"Moški";1445
"2009";"Podravska";"35-44 let";"Ženske";1356
"2009";"Podravska";"45-54 let";"Moški";1474
"2009";"Podravska";"45-54 let";"Ženske";1457
"2009";"Podravska";"55-64 let";"Moški";1696
"2009";"Podravska";"55-64 let";"Ženske";1844
"2009";"Podravska";"65 let ali veè";"Moški";4416
"2009";"Podravska";"65 let ali veè";"Ženske";3615
"2009";"Koroška";"15-24 let";"Moški";930
"2009";"Koroška";"15-24 let";"Ženske";865
"2009";"Koroška";"25-34 let";"Moški";1208
"2009";"Koroška";"25-34 let";"Ženske";1105
"2009";"Koroška";"35-44 let";"Moški";1398
"2009";"Koroška";"35-44 let";"Ženske";1290
"2009";"Koroška";"45-54 let";"Moški";1453
"2009";"Koroška";"45-54 let";"Ženske";1433
"2009";"Koroška";"55-64 let";"Moški";1707
"2009";"Koroška";"55-64 let";"Ženske";1829
"2009";"Koroška";"65 let ali veè";"Moški";4018
"2009";"Koroška";"65 let ali veè";"Ženske";z
"2009";"Savinjska";"15-24 let";"Moški";884
"2009";"Savinjska";"15-24 let";"Ženske";874
"2009";"Savinjska";"25-34 let";"Moški";1224
"2009";"Savinjska";"25-34 let";"Ženske";1174
"2009";"Savinjska";"35-44 let";"Moški";1416
"2009";"Savinjska";"35-44 let";"Ženske";1299
"2009";"Savinjska";"45-54 let";"Moški";1504
"2009";"Savinjska";"45-54 let";"Ženske";1391
"2009";"Savinjska";"55-64 let";"Moški";1651
"2009";"Savinjska";"55-64 let";"Ženske";1766
"2009";"Savinjska";"65 let ali veè";"Moški";3713
"2009";"Savinjska";"65 let ali veè";"Ženske";z
"2009";"Zasavska";"15-24 let";"Moški";902
"2009";"Zasavska";"15-24 let";"Ženske";870
"2009";"Zasavska";"25-34 let";"Moški";1264
"2009";"Zasavska";"25-34 let";"Ženske";1224
"2009";"Zasavska";"35-44 let";"Moški";1504
"2009";"Zasavska";"35-44 let";"Ženske";1300
"2009";"Zasavska";"45-54 let";"Moški";1514
"2009";"Zasavska";"45-54 let";"Ženske";1399
"2009";"Zasavska";"55-64 let";"Moški";1638
"2009";"Zasavska";"55-64 let";"Ženske";1797
