"";"Leto";"Regija";"Starost";"Spol";"Placa"
"1";2008;"Pomurska";"15-24 let";"Moški";899
"2";2008;"Pomurska";"15-24 let";"Ženske";838
"3";2008;"Pomurska";"25-34 let";"Moški";1161
"4";2008;"Pomurska";"25-34 let";"Ženske";1067
"5";2008;"Pomurska";"35-44 let";"Moški";1275
"6";2008;"Pomurska";"35-44 let";"Ženske";1105
"7";2008;"Pomurska";"45-54 let";"Moški";1327
"8";2008;"Pomurska";"45-54 let";"Ženske";1192
"9";2008;"Pomurska";"55-64 let";"Moški";1394
"10";2008;"Pomurska";"55-64 let";"Ženske";1576
"11";2008;"Pomurska";"65 let ali veè";"Moški";3924
"12";2008;"Podravska";"15-24 let";"Moški";900
"13";2008;"Podravska";"15-24 let";"Ženske";808
"14";2008;"Podravska";"25-34 let";"Moški";1229
"15";2008;"Podravska";"25-34 let";"Ženske";1136
"16";2008;"Podravska";"35-44 let";"Moški";1425
"17";2008;"Podravska";"35-44 let";"Ženske";1280
"18";2008;"Podravska";"45-54 let";"Moški";1446
"19";2008;"Podravska";"45-54 let";"Ženske";1367
"20";2008;"Podravska";"55-64 let";"Moški";1675
"21";2008;"Podravska";"55-64 let";"Ženske";1743
"22";2008;"Podravska";"65 let ali veè";"Moški";4086
"23";2008;"Podravska";"65 let ali veè";"Ženske";3053
"24";2008;"Koroška";"15-24 let";"Moški";954
"25";2008;"Koroška";"15-24 let";"Ženske";811
"26";2008;"Koroška";"25-34 let";"Moški";1220
"27";2008;"Koroška";"25-34 let";"Ženske";1088
"28";2008;"Koroška";"35-44 let";"Moški";1395
"29";2008;"Koroška";"35-44 let";"Ženske";1232
"30";2008;"Koroška";"45-54 let";"Moški";1466
"31";2008;"Koroška";"45-54 let";"Ženske";1359
"32";2008;"Koroška";"55-64 let";"Moški";1687
"33";2008;"Koroška";"55-64 let";"Ženske";1722
"34";2008;"Koroška";"65 let ali veè";"Moški";3575
"35";2008;"Savinjska";"15-24 let";"Moški";891
"36";2008;"Savinjska";"15-24 let";"Ženske";838
"37";2008;"Savinjska";"25-34 let";"Moški";1220
"38";2008;"Savinjska";"25-34 let";"Ženske";1121
"39";2008;"Savinjska";"35-44 let";"Moški";1402
"40";2008;"Savinjska";"35-44 let";"Ženske";1240
"41";2008;"Savinjska";"45-54 let";"Moški";1486
"42";2008;"Savinjska";"45-54 let";"Ženske";1324
"43";2008;"Savinjska";"55-64 let";"Moški";1678
"44";2008;"Savinjska";"55-64 let";"Ženske";1695
"45";2008;"Savinjska";"65 let ali veè";"Moški";3668
"46";2008;"Zasavska";"15-24 let";"Moški";900
"47";2008;"Zasavska";"15-24 let";"Ženske";843
"48";2008;"Zasavska";"25-34 let";"Moški";1243
"49";2008;"Zasavska";"25-34 let";"Ženske";1176
"50";2008;"Zasavska";"35-44 let";"Moški";1484
"51";2008;"Zasavska";"35-44 let";"Ženske";1227
"52";2008;"Zasavska";"45-54 let";"Moški";1495
"53";2008;"Zasavska";"45-54 let";"Ženske";1296
"54";2008;"Zasavska";"55-64 let";"Moški";1589
"55";2008;"Zasavska";"55-64 let";"Ženske";1738
"56";2008;"Posavska";"15-24 let";"Moški";943
"57";2008;"Posavska";"15-24 let";"Ženske";869
"58";2008;"Posavska";"25-34 let";"Moški";1230
"59";2008;"Posavska";"25-34 let";"Ženske";1126
"60";2008;"Posavska";"35-44 let";"Moški";1374
"61";2008;"Posavska";"35-44 let";"Ženske";1262
"62";2008;"Posavska";"45-54 let";"Moški";1504
"63";2008;"Posavska";"45-54 let";"Ženske";1297
"64";2008;"Posavska";"55-64 let";"Moški";1614
"65";2008;"Posavska";"55-64 let";"Ženske";1765
"66";2008;"Posavska";"65 let ali veè";"Moški";3924
"67";2008;"Jugovzhodna Slovenija";"15-24 let";"Moški";935
"68";2008;"Jugovzhodna Slovenija";"15-24 let";"Ženske";909
"69";2008;"Jugovzhodna Slovenija";"25-34 let";"Moški";1269
"70";2008;"Jugovzhodna Slovenija";"25-34 let";"Ženske";1177
"71";2008;"Jugovzhodna Slovenija";"35-44 let";"Moški";1426
"72";2008;"Jugovzhodna Slovenija";"35-44 let";"Ženske";1335
"73";2008;"Jugovzhodna Slovenija";"45-54 let";"Moški";1486
"74";2008;"Jugovzhodna Slovenija";"45-54 let";"Ženske";1385
"75";2008;"Jugovzhodna Slovenija";"55-64 let";"Moški";1651
"76";2008;"Jugovzhodna Slovenija";"55-64 let";"Ženske";2018
"77";2008;"Jugovzhodna Slovenija";"65 let ali veè";"Moški";5253
"78";2008;"Osrednjeslovenska";"15-24 let";"Moški";920
"79";2008;"Osrednjeslovenska";"15-24 let";"Ženske";907
"80";2008;"Osrednjeslovenska";"25-34 let";"Moški";1423
"81";2008;"Osrednjeslovenska";"25-34 let";"Ženske";1352
"82";2008;"Osrednjeslovenska";"35-44 let";"Moški";1756
"83";2008;"Osrednjeslovenska";"35-44 let";"Ženske";1600
"84";2008;"Osrednjeslovenska";"45-54 let";"Moški";1729
"85";2008;"Osrednjeslovenska";"45-54 let";"Ženske";1601
"86";2008;"Osrednjeslovenska";"55-64 let";"Moški";1963
"87";2008;"Osrednjeslovenska";"55-64 let";"Ženske";2079
"88";2008;"Osrednjeslovenska";"65 let ali veè";"Moški";4176
"89";2008;"Osrednjeslovenska";"65 let ali veè";"Ženske";3197
"90";2008;"Gorenjska";"15-24 let";"Moški";956
"91";2008;"Gorenjska";"15-24 let";"Ženske";875
"92";2008;"Gorenjska";"25-34 let";"Moški";1340
"93";2008;"Gorenjska";"25-34 let";"Ženske";1203
"94";2008;"Gorenjska";"35-44 let";"Moški";1623
"95";2008;"Gorenjska";"35-44 let";"Ženske";1370
"96";2008;"Gorenjska";"45-54 let";"Moški";1567
"97";2008;"Gorenjska";"45-54 let";"Ženske";1413
"98";2008;"Gorenjska";"55-64 let";"Moški";1738
"99";2008;"Gorenjska";"55-64 let";"Ženske";1830
"100";2008;"Gorenjska";"65 let ali veè";"Moški";4158
"101";2008;"Gorenjska";"65 let ali veè";"Ženske";2621
"102";2008;"Primorsko-notranjska";"15-24 let";"Moški";885
"103";2008;"Primorsko-notranjska";"15-24 let";"Ženske";834
"104";2008;"Primorsko-notranjska";"25-34 let";"Moški";1218
"105";2008;"Primorsko-notranjska";"25-34 let";"Ženske";1156
"106";2008;"Primorsko-notranjska";"35-44 let";"Moški";1399
"107";2008;"Primorsko-notranjska";"35-44 let";"Ženske";1238
"108";2008;"Primorsko-notranjska";"45-54 let";"Moški";1437
"109";2008;"Primorsko-notranjska";"45-54 let";"Ženske";1317
"110";2008;"Primorsko-notranjska";"55-64 let";"Moški";1590
"111";2008;"Primorsko-notranjska";"55-64 let";"Ženske";1656
"112";2008;"Primorsko-notranjska";"65 let ali veè";"Moški";3902
"113";2008;"Goriška";"15-24 let";"Moški";898
"114";2008;"Goriška";"15-24 let";"Ženske";868
"115";2008;"Goriška";"25-34 let";"Moški";1273
"116";2008;"Goriška";"25-34 let";"Ženske";1201
"117";2008;"Goriška";"35-44 let";"Moški";1533
"118";2008;"Goriška";"35-44 let";"Ženske";1332
"119";2008;"Goriška";"45-54 let";"Moški";1580
"120";2008;"Goriška";"45-54 let";"Ženske";1397
"121";2008;"Goriška";"55-64 let";"Moški";1798
"122";2008;"Goriška";"55-64 let";"Ženske";1769
"123";2008;"Goriška";"65 let ali veè";"Moški";3804
"124";2008;"Obalno-kraška";"15-24 let";"Moški";859
"125";2008;"Obalno-kraška";"15-24 let";"Ženske";861
"126";2008;"Obalno-kraška";"25-34 let";"Moški";1278
"127";2008;"Obalno-kraška";"25-34 let";"Ženske";1225
"128";2008;"Obalno-kraška";"35-44 let";"Moški";1583
"129";2008;"Obalno-kraška";"35-44 let";"Ženske";1428
"130";2008;"Obalno-kraška";"45-54 let";"Moški";1630
"131";2008;"Obalno-kraška";"45-54 let";"Ženske";1440
"132";2008;"Obalno-kraška";"55-64 let";"Moški";1792
"133";2008;"Obalno-kraška";"55-64 let";"Ženske";1709
"134";2008;"Obalno-kraška";"65 let ali veè";"Moški";3486
"135";2009;"Pomurska";"15-24 let";"Moški";920
"136";2009;"Pomurska";"15-24 let";"Ženske";854
"137";2009;"Pomurska";"25-34 let";"Moški";1180
"138";2009;"Pomurska";"25-34 let";"Ženske";1146
"139";2009;"Pomurska";"35-44 let";"Moški";1355
"140";2009;"Pomurska";"35-44 let";"Ženske";1322
"141";2009;"Pomurska";"45-54 let";"Moški";1416
"142";2009;"Pomurska";"45-54 let";"Ženske";1447
"143";2009;"Pomurska";"55-64 let";"Moški";1537
"144";2009;"Pomurska";"55-64 let";"Ženske";1832
"145";2009;"Pomurska";"65 let ali veè";"Moški";3721
"146";2009;"Podravska";"15-24 let";"Moški";893
"147";2009;"Podravska";"15-24 let";"Ženske";860
"148";2009;"Podravska";"25-34 let";"Moški";1239
"149";2009;"Podravska";"25-34 let";"Ženske";1187
"150";2009;"Podravska";"35-44 let";"Moški";1445
"151";2009;"Podravska";"35-44 let";"Ženske";1356
"152";2009;"Podravska";"45-54 let";"Moški";1474
"153";2009;"Podravska";"45-54 let";"Ženske";1457
"154";2009;"Podravska";"55-64 let";"Moški";1696
"155";2009;"Podravska";"55-64 let";"Ženske";1844
"156";2009;"Podravska";"65 let ali veè";"Moški";4416
"157";2009;"Podravska";"65 let ali veè";"Ženske";3615
"158";2009;"Koroška";"15-24 let";"Moški";930
"159";2009;"Koroška";"15-24 let";"Ženske";865
"160";2009;"Koroška";"25-34 let";"Moški";1208
"161";2009;"Koroška";"25-34 let";"Ženske";1105
"162";2009;"Koroška";"35-44 let";"Moški";1398
"163";2009;"Koroška";"35-44 let";"Ženske";1290
"164";2009;"Koroška";"45-54 let";"Moški";1453
"165";2009;"Koroška";"45-54 let";"Ženske";1433
"166";2009;"Koroška";"55-64 let";"Moški";1707
"167";2009;"Koroška";"55-64 let";"Ženske";1829
"168";2009;"Koroška";"65 let ali veè";"Moški";4018
"169";2009;"Savinjska";"15-24 let";"Moški";884
"170";2009;"Savinjska";"15-24 let";"Ženske";874
"171";2009;"Savinjska";"25-34 let";"Moški";1224
"172";2009;"Savinjska";"25-34 let";"Ženske";1174
"173";2009;"Savinjska";"35-44 let";"Moški";1416
"174";2009;"Savinjska";"35-44 let";"Ženske";1299
"175";2009;"Savinjska";"45-54 let";"Moški";1504
"176";2009;"Savinjska";"45-54 let";"Ženske";1391
"177";2009;"Savinjska";"55-64 let";"Moški";1651
"178";2009;"Savinjska";"55-64 let";"Ženske";1766
"179";2009;"Savinjska";"65 let ali veè";"Moški";3713
"180";2009;"Zasavska";"15-24 let";"Moški";902
"181";2009;"Zasavska";"15-24 let";"Ženske";870
"182";2009;"Zasavska";"25-34 let";"Moški";1264
"183";2009;"Zasavska";"25-34 let";"Ženske";1224
"184";2009;"Zasavska";"35-44 let";"Moški";1504
"185";2009;"Zasavska";"35-44 let";"Ženske";1300
"186";2009;"Zasavska";"45-54 let";"Moški";1514
"187";2009;"Zasavska";"45-54 let";"Ženske";1399
"188";2009;"Zasavska";"55-64 let";"Moški";1638
"189";2009;"Zasavska";"55-64 let";"Ženske";1797
"190";2009;"Posavska";"15-24 let";"Moški";956
"191";2009;"Posavska";"15-24 let";"Ženske";903
"192";2009;"Posavska";"25-34 let";"Moški";1225
"193";2009;"Posavska";"25-34 let";"Ženske";1188
"194";2009;"Posavska";"35-44 let";"Moški";1395
"195";2009;"Posavska";"35-44 let";"Ženske";1327
"196";2009;"Posavska";"45-54 let";"Moški";1536
"197";2009;"Posavska";"45-54 let";"Ženske";1374
"198";2009;"Posavska";"55-64 let";"Moški";1641
"199";2009;"Posavska";"55-64 let";"Ženske";1877
"200";2009;"Posavska";"65 let ali veè";"Moški";4246
"201";2009;"Jugovzhodna Slovenija";"15-24 let";"Moški";932
"202";2009;"Jugovzhodna Slovenija";"15-24 let";"Ženske";966
"203";2009;"Jugovzhodna Slovenija";"25-34 let";"Moški";1252
"204";2009;"Jugovzhodna Slovenija";"25-34 let";"Ženske";1218
"205";2009;"Jugovzhodna Slovenija";"35-44 let";"Moški";1442
"206";2009;"Jugovzhodna Slovenija";"35-44 let";"Ženske";1390
"207";2009;"Jugovzhodna Slovenija";"45-54 let";"Moški";1496
"208";2009;"Jugovzhodna Slovenija";"45-54 let";"Ženske";1464
"209";2009;"Jugovzhodna Slovenija";"55-64 let";"Moški";1670
"210";2009;"Jugovzhodna Slovenija";"55-64 let";"Ženske";2137
"211";2009;"Jugovzhodna Slovenija";"65 let ali veè";"Moški";4470
"212";2009;"Osrednjeslovenska";"15-24 let";"Moški";935
"213";2009;"Osrednjeslovenska";"15-24 let";"Ženske";940
"214";2009;"Osrednjeslovenska";"25-34 let";"Moški";1430
"215";2009;"Osrednjeslovenska";"25-34 let";"Ženske";1387
"216";2009;"Osrednjeslovenska";"35-44 let";"Moški";1792
"217";2009;"Osrednjeslovenska";"35-44 let";"Ženske";1693
"218";2009;"Osrednjeslovenska";"45-54 let";"Moški";1782
"219";2009;"Osrednjeslovenska";"45-54 let";"Ženske";1707
"220";2009;"Osrednjeslovenska";"55-64 let";"Moški";2029
"221";2009;"Osrednjeslovenska";"55-64 let";"Ženske";2203
"222";2009;"Osrednjeslovenska";"65 let ali veè";"Moški";4421
"223";2009;"Osrednjeslovenska";"65 let ali veè";"Ženske";3616
"224";2009;"Gorenjska";"15-24 let";"Moški";942
"225";2009;"Gorenjska";"15-24 let";"Ženske";902
"226";2009;"Gorenjska";"25-34 let";"Moški";1330
"227";2009;"Gorenjska";"25-34 let";"Ženske";1241
"228";2009;"Gorenjska";"35-44 let";"Moški";1628
"229";2009;"Gorenjska";"35-44 let";"Ženske";1450
"230";2009;"Gorenjska";"45-54 let";"Moški";1581
"231";2009;"Gorenjska";"45-54 let";"Ženske";1483
"232";2009;"Gorenjska";"55-64 let";"Moški";1749
"233";2009;"Gorenjska";"55-64 let";"Ženske";1910
"234";2009;"Gorenjska";"65 let ali veè";"Moški";3773
"235";2009;"Gorenjska";"65 let ali veè";"Ženske";2481
"236";2009;"Primorsko-notranjska";"15-24 let";"Moški";880
"237";2009;"Primorsko-notranjska";"15-24 let";"Ženske";856
"238";2009;"Primorsko-notranjska";"25-34 let";"Moški";1238
"239";2009;"Primorsko-notranjska";"25-34 let";"Ženske";1218
"240";2009;"Primorsko-notranjska";"35-44 let";"Moški";1434
"241";2009;"Primorsko-notranjska";"35-44 let";"Ženske";1342
"242";2009;"Primorsko-notranjska";"45-54 let";"Moški";1451
"243";2009;"Primorsko-notranjska";"45-54 let";"Ženske";1416
"244";2009;"Primorsko-notranjska";"55-64 let";"Moški";1635
"245";2009;"Primorsko-notranjska";"55-64 let";"Ženske";1701
"246";2009;"Primorsko-notranjska";"65 let ali veè";"Moški";4079
"247";2009;"Goriška";"15-24 let";"Moški";873
"248";2009;"Goriška";"15-24 let";"Ženske";868
"249";2009;"Goriška";"25-34 let";"Moški";1256
"250";2009;"Goriška";"25-34 let";"Ženske";1235
"251";2009;"Goriška";"35-44 let";"Moški";1547
"252";2009;"Goriška";"35-44 let";"Ženske";1389
"253";2009;"Goriška";"45-54 let";"Moški";1580
"254";2009;"Goriška";"45-54 let";"Ženske";1474
"255";2009;"Goriška";"55-64 let";"Moški";1834
"256";2009;"Goriška";"55-64 let";"Ženske";1941
"257";2009;"Goriška";"65 let ali veè";"Moški";4703
"258";2009;"Obalno-kraška";"15-24 let";"Moški";876
"259";2009;"Obalno-kraška";"15-24 let";"Ženske";897
"260";2009;"Obalno-kraška";"25-34 let";"Moški";1282
"261";2009;"Obalno-kraška";"25-34 let";"Ženske";1252
"262";2009;"Obalno-kraška";"35-44 let";"Moški";1622
"263";2009;"Obalno-kraška";"35-44 let";"Ženske";1514
"264";2009;"Obalno-kraška";"45-54 let";"Moški";1665
"265";2009;"Obalno-kraška";"45-54 let";"Ženske";1532
"266";2009;"Obalno-kraška";"55-64 let";"Moški";1841
"267";2009;"Obalno-kraška";"55-64 let";"Ženske";1821
"268";2009;"Obalno-kraška";"65 let ali veè";"Moški";3303
"269";2010;"Pomurska";"15-24 let";"Moški";938
"270";2010;"Pomurska";"15-24 let";"Ženske";902
"271";2010;"Pomurska";"25-34 let";"Moški";1211
"272";2010;"Pomurska";"25-34 let";"Ženske";1180
"273";2010;"Pomurska";"35-44 let";"Moški";1380
"274";2010;"Pomurska";"35-44 let";"Ženske";1291
"275";2010;"Pomurska";"45-54 let";"Moški";1437
