"";"LETO";"STATISTICNA_REGIJA";"SPOL";"STAROST";"PLACE"
"1";2008;"SLOVENIJA";"moški";"Skupaj";1474
"2";2008;"SLOVENIJA";"moški";"15-64";1469
"3";2008;"SLOVENIJA";"moški";"15-24";913
"4";2008;"SLOVENIJA";"moški";"25-34";1291
"5";2008;"SLOVENIJA";"moški";"35-44";1532
"6";2008;"SLOVENIJA";"moški";"45-54";1553
"7";2008;"SLOVENIJA";"moški";"55-64";1764
"8";2009;"SLOVENIJA";"moški";"Skupaj";1496
"9";2009;"SLOVENIJA";"moški";"15-64";1491
"10";2009;"SLOVENIJA";"moški";"15-24";913
"11";2009;"SLOVENIJA";"moški";"25-34";1295
"12";2009;"SLOVENIJA";"moški";"35-44";1559
"13";2009;"SLOVENIJA";"moški";"45-54";1584
"14";2009;"SLOVENIJA";"moški";"55-64";1804
"15";2010;"SLOVENIJA";"moški";"Skupaj";1564
"16";2010;"SLOVENIJA";"moški";"15-64";1559
"17";2010;"SLOVENIJA";"moški";"15-24";979
"18";2010;"SLOVENIJA";"moški";"25-34";1349
"19";2010;"SLOVENIJA";"moški";"35-44";1625
"20";2010;"SLOVENIJA";"moški";"45-54";1648
"21";2010;"SLOVENIJA";"moški";"55-64";1900
"22";2011;"SLOVENIJA";"moški";"Skupaj";1617
"23";2011;"SLOVENIJA";"moški";"15-64";1611
"24";2011;"SLOVENIJA";"moški";"15-24";1034
"25";2011;"SLOVENIJA";"moški";"25-34";1381
"26";2011;"SLOVENIJA";"moški";"35-44";1675
"27";2011;"SLOVENIJA";"moški";"45-54";1704
"28";2011;"SLOVENIJA";"moški";"55-64";1932
"29";2012;"SLOVENIJA";"moški";"Skupaj";1639
"30";2012;"SLOVENIJA";"moški";"15-64";1635
"31";2012;"SLOVENIJA";"moški";"15-24";1051
"32";2012;"SLOVENIJA";"moški";"25-34";1393
"33";2012;"SLOVENIJA";"moški";"35-44";1705
"34";2012;"SLOVENIJA";"moški";"45-54";1729
"35";2012;"SLOVENIJA";"moški";"55-64";1939
"36";2013;"SLOVENIJA";"moški";"Skupaj";1639
"37";2013;"SLOVENIJA";"moški";"15-64";1634
"38";2013;"SLOVENIJA";"moški";"15-24";1064
"39";2013;"SLOVENIJA";"moški";"25-34";1384
"40";2013;"SLOVENIJA";"moški";"35-44";1697
"41";2013;"SLOVENIJA";"moški";"45-54";1729
"42";2013;"SLOVENIJA";"moški";"55-64";1896
"43";2014;"SLOVENIJA";"moški";"Skupaj";1678
"44";2014;"SLOVENIJA";"moški";"15-64";1673
"45";2014;"SLOVENIJA";"moški";"15-24";1097
"46";2014;"SLOVENIJA";"moški";"25-34";1411
"47";2014;"SLOVENIJA";"moški";"35-44";1732
"48";2014;"SLOVENIJA";"moški";"45-54";1773
"49";2014;"SLOVENIJA";"moški";"55-64";1899
"50";2015;"SLOVENIJA";"moški";"Skupaj";1698
"51";2015;"SLOVENIJA";"moški";"15-64";1692
"52";2015;"SLOVENIJA";"moški";"15-24";1119
"53";2015;"SLOVENIJA";"moški";"25-34";1421
"54";2015;"SLOVENIJA";"moški";"35-44";1753
"55";2015;"SLOVENIJA";"moški";"45-54";1792
"56";2015;"SLOVENIJA";"moški";"55-64";1911
"57";2016;"SLOVENIJA";"moški";"Skupaj";1733
"58";2016;"SLOVENIJA";"moški";"15-64";1726
"59";2016;"SLOVENIJA";"moški";"15-24";1139
"60";2016;"SLOVENIJA";"moški";"25-34";1443
"61";2016;"SLOVENIJA";"moški";"35-44";1781
"62";2016;"SLOVENIJA";"moški";"45-54";1842
"63";2016;"SLOVENIJA";"moški";"55-64";1928
"64";2017;"SLOVENIJA";"moški";"Skupaj";1770
"65";2017;"SLOVENIJA";"moški";"15-64";1764
"66";2017;"SLOVENIJA";"moški";"15-24";1172
"67";2017;"SLOVENIJA";"moški";"25-34";1482
"68";2017;"SLOVENIJA";"moški";"35-44";1811
"69";2017;"SLOVENIJA";"moški";"45-54";1885
"70";2017;"SLOVENIJA";"moški";"55-64";1954
"71";2018;"SLOVENIJA";"moški";"Skupaj";1837
"72";2018;"SLOVENIJA";"moški";"15-64";1830
"73";2018;"SLOVENIJA";"moški";"15-24";1233
"74";2018;"SLOVENIJA";"moški";"25-34";1556
"75";2018;"SLOVENIJA";"moški";"35-44";1879
"76";2018;"SLOVENIJA";"moški";"45-54";1960
"77";2018;"SLOVENIJA";"moški";"55-64";1996
"78";2019;"SLOVENIJA";"moški";"Skupaj";1901
"79";2019;"SLOVENIJA";"moški";"15-64";1893
"80";2019;"SLOVENIJA";"moški";"15-24";1279
"81";2019;"SLOVENIJA";"moški";"25-34";1621
"82";2019;"SLOVENIJA";"moški";"35-44";1942
"83";2019;"SLOVENIJA";"moški";"45-54";2039
"84";2019;"SLOVENIJA";"moški";"55-64";2055
"85";2008;"SLOVENIJA";"ženske";"Skupaj";1368
"86";2008;"SLOVENIJA";"ženske";"15-64";1367
"87";2008;"SLOVENIJA";"ženske";"15-24";863
"88";2008;"SLOVENIJA";"ženske";"25-34";1205
"89";2008;"SLOVENIJA";"ženske";"35-44";1372
"90";2008;"SLOVENIJA";"ženske";"45-54";1424
"91";2008;"SLOVENIJA";"ženske";"55-64";1874
"92";2009;"SLOVENIJA";"ženske";"Skupaj";1453
"93";2009;"SLOVENIJA";"ženske";"15-64";1451
"94";2009;"SLOVENIJA";"ženske";"15-24";901
"95";2009;"SLOVENIJA";"ženske";"25-34";1253
"96";2009;"SLOVENIJA";"ženske";"35-44";1460
"97";2009;"SLOVENIJA";"ženske";"45-54";1520
"98";2009;"SLOVENIJA";"ženske";"55-64";1987
"99";2010;"SLOVENIJA";"ženske";"Skupaj";1506
"100";2010;"SLOVENIJA";"ženske";"15-64";1505
"101";2010;"SLOVENIJA";"ženske";"15-24";951
"102";2010;"SLOVENIJA";"ženske";"25-34";1299
"103";2010;"SLOVENIJA";"ženske";"35-44";1511
"104";2010;"SLOVENIJA";"ženske";"45-54";1573
"105";2010;"SLOVENIJA";"ženske";"55-64";2037
"106";2011;"SLOVENIJA";"ženske";"Skupaj";1542
"107";2011;"SLOVENIJA";"ženske";"15-64";1541
"108";2011;"SLOVENIJA";"ženske";"15-24";991
"109";2011;"SLOVENIJA";"ženske";"25-34";1320
"110";2011;"SLOVENIJA";"ženske";"35-44";1549
"111";2011;"SLOVENIJA";"ženske";"45-54";1600
"112";2011;"SLOVENIJA";"ženske";"55-64";2007
"113";2012;"SLOVENIJA";"ženske";"Skupaj";1555
"114";2012;"SLOVENIJA";"ženske";"15-64";1554
"115";2012;"SLOVENIJA";"ženske";"15-24";997
"116";2012;"SLOVENIJA";"ženske";"25-34";1326
"117";2012;"SLOVENIJA";"ženske";"35-44";1567
"118";2012;"SLOVENIJA";"ženske";"45-54";1607
"119";2012;"SLOVENIJA";"ženske";"55-64";1995
"120";2013;"SLOVENIJA";"ženske";"Skupaj";1551
"121";2013;"SLOVENIJA";"ženske";"15-64";1549
"122";2013;"SLOVENIJA";"ženske";"15-24";994
"123";2013;"SLOVENIJA";"ženske";"25-34";1315
"124";2013;"SLOVENIJA";"ženske";"35-44";1565
"125";2013;"SLOVENIJA";"ženske";"45-54";1592
"126";2013;"SLOVENIJA";"ženske";"55-64";1896
"127";2014;"SLOVENIJA";"ženske";"Skupaj";1589
"128";2014;"SLOVENIJA";"ženske";"15-64";1587
"129";2014;"SLOVENIJA";"ženske";"15-24";1006
"130";2014;"SLOVENIJA";"ženske";"25-34";1328
"131";2014;"SLOVENIJA";"ženske";"35-44";1599
"132";2014;"SLOVENIJA";"ženske";"45-54";1631
"133";2014;"SLOVENIJA";"ženske";"55-64";1884
"134";2015;"SLOVENIJA";"ženske";"Skupaj";1598
"135";2015;"SLOVENIJA";"ženske";"15-64";1596
"136";2015;"SLOVENIJA";"ženske";"15-24";1009
"137";2015;"SLOVENIJA";"ženske";"25-34";1326
"138";2015;"SLOVENIJA";"ženske";"35-44";1604
"139";2015;"SLOVENIJA";"ženske";"45-54";1638
"140";2015;"SLOVENIJA";"ženske";"55-64";1863
"141";2016;"SLOVENIJA";"ženske";"Skupaj";1631
"142";2016;"SLOVENIJA";"ženske";"15-64";1629
"143";2016;"SLOVENIJA";"ženske";"15-24";1026
"144";2016;"SLOVENIJA";"ženske";"25-34";1340
"145";2016;"SLOVENIJA";"ženske";"35-44";1634
"146";2016;"SLOVENIJA";"ženske";"45-54";1675
"147";2016;"SLOVENIJA";"ženske";"55-64";1873
"148";2017;"SLOVENIJA";"ženske";"Skupaj";1664
"149";2017;"SLOVENIJA";"ženske";"15-64";1662
