LETO;STATISTICNA_REGIJA;SPOL;STAROST;PLACE
2008;Gorenjska;moški;15-24;956
2008;Gorenjska;ženske;15-24;875
2008;Gorenjska;moški;25-34;1340
2008;Gorenjska;ženske;25-34;1203
2008;Gorenjska;moški;35-44;1623
2008;Gorenjska;ženske;35-44;1370
2008;Gorenjska;moški;45-54;1567
2008;Gorenjska;ženske;45-54;1413
2008;Gorenjska;moški;55-64;1738
2008;Gorenjska;ženske;55-64;1830
2008;Gorenjska;moški;65 ali več;4158
2008;Gorenjska;ženske;65 ali več;2621
2008;Goriška;moški;15-24;898
2008;Goriška;ženske;15-24;868
2008;Goriška;moški;25-34;1273
2008;Goriška;ženske;25-34;1201
2008;Goriška;moški;35-44;1533
2008;Goriška;ženske;35-44;1332
2008;Goriška;moški;45-54;1580
2008;Goriška;ženske;45-54;1397
2008;Goriška;moški;55-64;1798
2008;Goriška;ženske;55-64;1769
2008;Goriška;moški;65 ali več;3804
2008;Jugovzhodna Slovenija;moški;15-24;935
2008;Jugovzhodna Slovenija;ženske;15-24;909
2008;Jugovzhodna Slovenija;moški;25-34;1269
2008;Jugovzhodna Slovenija;ženske;25-34;1177
2008;Jugovzhodna Slovenija;moški;35-44;1426
2008;Jugovzhodna Slovenija;ženske;35-44;1335
2008;Jugovzhodna Slovenija;moški;45-54;1486
2008;Jugovzhodna Slovenija;ženske;45-54;1385
2008;Jugovzhodna Slovenija;moški;55-64;1651
2008;Jugovzhodna Slovenija;ženske;55-64;2018
2008;Jugovzhodna Slovenija;moški;65 ali več;5253
2008;Koroška;moški;15-24;954
2008;Koroška;ženske;15-24;811
2008;Koroška;moški;25-34;1220
2008;Koroška;ženske;25-34;1088
2008;Koroška;moški;35-44;1395
2008;Koroška;ženske;35-44;1232
2008;Koroška;moški;45-54;1466
2008;Koroška;ženske;45-54;1359
2008;Koroška;moški;55-64;1687
2008;Koroška;ženske;55-64;1722
2008;Koroška;moški;65 ali več;3575
2008;Obalno-kraška;moški;15-24;859
2008;Obalno-kraška;ženske;15-24;861
2008;Obalno-kraška;moški;25-34;1278
2008;Obalno-kraška;ženske;25-34;1225
2008;Obalno-kraška;moški;35-44;1583
2008;Obalno-kraška;ženske;35-44;1428
2008;Obalno-kraška;moški;45-54;1630
2008;Obalno-kraška;ženske;45-54;1440
2008;Obalno-kraška;moški;55-64;1792
2008;Obalno-kraška;ženske;55-64;1709
2008;Obalno-kraška;moški;65 ali več;3486
2008;Osrednjeslovenska;moški;15-24;920
2008;Osrednjeslovenska;ženske;15-24;907
2008;Osrednjeslovenska;moški;25-34;1423
2008;Osrednjeslovenska;ženske;25-34;1352
2008;Osrednjeslovenska;moški;35-44;1756
2008;Osrednjeslovenska;ženske;35-44;1600
2008;Osrednjeslovenska;moški;45-54;1729
2008;Osrednjeslovenska;ženske;45-54;1601
2008;Osrednjeslovenska;moški;55-64;1963
2008;Osrednjeslovenska;ženske;55-64;2079
2008;Osrednjeslovenska;moški;65 ali več;4176
2008;Osrednjeslovenska;ženske;65 ali več;3197
2008;Podravska;moški;15-24;900
2008;Podravska;ženske;15-24;808
2008;Podravska;moški;25-34;1229
2008;Podravska;ženske;25-34;1136
2008;Podravska;moški;35-44;1425
2008;Podravska;ženske;35-44;1280
2008;Podravska;moški;45-54;1446
2008;Podravska;ženske;45-54;1367
2008;Podravska;moški;55-64;1675
2008;Podravska;ženske;55-64;1743
2008;Podravska;moški;65 ali več;4086
2008;Podravska;ženske;65 ali več;3053
2008;Pomurska;moški;15-24;899
2008;Pomurska;ženske;15-24;838
2008;Pomurska;moški;25-34;1161
2008;Pomurska;ženske;25-34;1067
2008;Pomurska;moški;35-44;1275
2008;Pomurska;ženske;35-44;1105
2008;Pomurska;moški;45-54;1327
2008;Pomurska;ženske;45-54;1192
2008;Pomurska;moški;55-64;1394
2008;Pomurska;ženske;55-64;1576
2008;Pomurska;moški;65 ali več;3924
2008;Posavska;moški;15-24;943
2008;Posavska;ženske;15-24;869
2008;Posavska;moški;25-34;1230
2008;Posavska;ženske;25-34;1126
2008;Posavska;moški;35-44;1374
2008;Posavska;ženske;35-44;1262
2008;Posavska;moški;45-54;1504
2008;Posavska;ženske;45-54;1297
2008;Posavska;moški;55-64;1614
2008;Posavska;ženske;55-64;1765
2008;Posavska;moški;65 ali več;3924
2008;Primorsko-notranjska;moški;15-24;885
2008;Primorsko-notranjska;ženske;15-24;834
2008;Primorsko-notranjska;moški;25-34;1218
2008;Primorsko-notranjska;ženske;25-34;1156
2008;Primorsko-notranjska;moški;35-44;1399
2008;Primorsko-notranjska;ženske;35-44;1238
2008;Primorsko-notranjska;moški;45-54;1437
2008;Primorsko-notranjska;ženske;45-54;1317
2008;Primorsko-notranjska;moški;55-64;1590
2008;Primorsko-notranjska;ženske;55-64;1656
2008;Primorsko-notranjska;moški;65 ali več;3902
2008;Savinjska;moški;15-24;891
2008;Savinjska;ženske;15-24;838
2008;Savinjska;moški;25-34;1220
2008;Savinjska;ženske;25-34;1121
2008;Savinjska;moški;35-44;1402
2008;Savinjska;ženske;35-44;1240
2008;Savinjska;moški;45-54;1486
2008;Savinjska;ženske;45-54;1324
2008;Savinjska;moški;55-64;1678
2008;Savinjska;ženske;55-64;1695
2008;Savinjska;moški;65 ali več;3668
2008;Zasavska;moški;15-24;900
2008;Zasavska;ženske;15-24;843
2008;Zasavska;moški;25-34;1243
2008;Zasavska;ženske;25-34;1176
2008;Zasavska;moški;35-44;1484
2008;Zasavska;ženske;35-44;1227
2008;Zasavska;moški;45-54;1495
2008;Zasavska;ženske;45-54;1296
2008;Zasavska;moški;55-64;1589
2008;Zasavska;ženske;55-64;1738
2009;Gorenjska;moški;15-24;942
2009;Gorenjska;ženske;15-24;902
2009;Gorenjska;moški;25-34;1330
2009;Gorenjska;ženske;25-34;1241
2009;Gorenjska;moški;35-44;1628
2009;Gorenjska;ženske;35-44;1450
2009;Gorenjska;moški;45-54;1581
2009;Gorenjska;ženske;45-54;1483
2009;Gorenjska;moški;55-64;1749
2009;Gorenjska;ženske;55-64;1910
2009;Gorenjska;moški;65 ali več;3773
2009;Gorenjska;ženske;65 ali več;2481
2009;Goriška;moški;15-24;873
2009;Goriška;ženske;15-24;868
2009;Goriška;moški;25-34;1256
2009;Goriška;ženske;25-34;1235
2009;Goriška;moški;35-44;1547
2009;Goriška;ženske;35-44;1389
2009;Goriška;moški;45-54;1580
2009;Goriška;ženske;45-54;1474
2009;Goriška;moški;55-64;1834
2009;Goriška;ženske;55-64;1941
2009;Goriška;moški;65 ali več;4703
2009;Jugovzhodna Slovenija;moški;15-24;932
2009;Jugovzhodna Slovenija;ženske;15-24;966
2009;Jugovzhodna Slovenija;moški;25-34;1252
2009;Jugovzhodna Slovenija;ženske;25-34;1218
2009;Jugovzhodna Slovenija;moški;35-44;1442
2009;Jugovzhodna Slovenija;ženske;35-44;1390
2009;Jugovzhodna Slovenija;moški;45-54;1496
2009;Jugovzhodna Slovenija;ženske;45-54;1464
2009;Jugovzhodna Slovenija;moški;55-64;1670
2009;Jugovzhodna Slovenija;ženske;55-64;2137
2009;Jugovzhodna Slovenija;moški;65 ali več;4470
2009;Koroška;moški;15-24;930
2009;Koroška;ženske;15-24;865
2009;Koroška;moški;25-34;1208
2009;Koroška;ženske;25-34;1105
2009;Koroška;moški;35-44;1398
2009;Koroška;ženske;35-44;1290
2009;Koroška;moški;45-54;1453
2009;Koroška;ženske;45-54;1433
2009;Koroška;moški;55-64;1707
2009;Koroška;ženske;55-64;1829
2009;Koroška;moški;65 ali več;4018
2009;Obalno-kraška;moški;15-24;876
2009;Obalno-kraška;ženske;15-24;897
2009;Obalno-kraška;moški;25-34;1282
2009;Obalno-kraška;ženske;25-34;1252
2009;Obalno-kraška;moški;35-44;1622
2009;Obalno-kraška;ženske;35-44;1514
2009;Obalno-kraška;moški;45-54;1665
2009;Obalno-kraška;ženske;45-54;1532
2009;Obalno-kraška;moški;55-64;1841
2009;Obalno-kraška;ženske;55-64;1821
2009;Obalno-kraška;moški;65 ali več;3303
2009;Osrednjeslovenska;moški;15-24;935
2009;Osrednjeslovenska;ženske;15-24;940
2009;Osrednjeslovenska;moški;25-34;1430
2009;Osrednjeslovenska;ženske;25-34;1387
2009;Osrednjeslovenska;moški;35-44;1792
2009;Osrednjeslovenska;ženske;35-44;1693
2009;Osrednjeslovenska;moški;45-54;1782
2009;Osrednjeslovenska;ženske;45-54;1707
2009;Osrednjeslovenska;moški;55-64;2029
2009;Osrednjeslovenska;ženske;55-64;2203
2009;Osrednjeslovenska;moški;65 ali več;4421
2009;Osrednjeslovenska;ženske;65 ali več;3616
2009;Podravska;moški;15-24;893
2009;Podravska;ženske;15-24;860
2009;Podravska;moški;25-34;1239
2009;Podravska;ženske;25-34;1187
2009;Podravska;moški;35-44;1445
2009;Podravska;ženske;35-44;1356
2009;Podravska;moški;45-54;1474
2009;Podravska;ženske;45-54;1457
2009;Podravska;moški;55-64;1696
2009;Podravska;ženske;55-64;1844
2009;Podravska;moški;65 ali več;4416
2009;Podravska;ženske;65 ali več;3615
2009;Pomurska;moški;15-24;920
