"Povpreène meseène bruto plaèe (EUR) po statistiènih regijah prebivališèa, starostnih skupinah in spolu, Slovenija, letno"

"LETO";"STATISTIÈNA REGIJA";"Starost - SKUPAJ Spol - SKUPAJ";"Starost - SKUPAJ Moški";"Starost - SKUPAJ Ženske";"15-64 let Spol - SKUPAJ";"15-64 let Moški";"15-64 let Ženske";"15-24 let Spol - SKUPAJ";"15-24 let Moški";"15-24 let Ženske";"25-34 let Spol - SKUPAJ";"25-34 let Moški";"25-34 let Ženske";"35-44 let Spol - SKUPAJ";"35-44 let Moški";"35-44 let Ženske";"45-54 let Spol - SKUPAJ";"45-54 let Moški";"45-54 let Ženske";"55-64 let Spol - SKUPAJ";"55-64 let Moški";"55-64 let Ženske";"65 let ali veè Spol - SKUPAJ";"65 let ali veè Moški";"65 let ali veè Ženske"
"2008";"SLOVENIJA";1427;1474;1368;1423;1469;1367;901;913;863;1255;1291;1205;1455;1532;1372;1489;1553;1424;1796;1764;1874;3880;4066;3131
"2008";"Pomurska";1200;1252;1137;1199;1250;1136;883;899;838;1122;1161;1067;1189;1275;1105;1260;1327;1192;1437;1394;1576;4051;3924;z
"2008";"Podravska";1346;1388;1293;1343;1382;1292;878;900;808;1190;1229;1136;1356;1425;1280;1408;1446;1367;1695;1675;1743;3861;4086;3053
"2008";"Koroška";1320;1370;1252;1318;1368;1252;924;954;811;1167;1220;1088;1317;1395;1232;1416;1466;1359;1697;1687;1722;3340;3575;z
"2008";"Savinjska";1320;1374;1251;1319;1372;1250;879;891;838;1180;1220;1121;1325;1402;1240;1407;1486;1324;1683;1678;1695;3666;3668;z
"2008";"Zasavska";1337;1405;1251;1335;1402;1251;885;900;843;1215;1243;1176;1363;1484;1227;1395;1495;1296;1628;1589;1738;z;z;-
"2008";"Posavska";1320;1370;1250;1318;1367;1250;927;943;869;1189;1230;1126;1322;1374;1262;1409;1504;1297;1650;1614;1765;3762;3924;z
"2008";"Jugovzhodna Slovenija";1365;1394;1327;1364;1392;1327;929;935;909;1232;1269;1177;1383;1426;1335;1438;1486;1385;1736;1651;2018;4554;5253;z
"2008";"Osrednjeslovenska";1620;1665;1568;1615;1657;1567;917;920;907;1391;1423;1352;1678;1756;1600;1663;1729;1601;2001;1963;2079;3975;4176;3197
"2008";"Gorenjska";1442;1514;1352;1439;1510;1351;934;956;875;1282;1340;1203;1499;1623;1370;1491;1567;1413;1761;1738;1830;3893;4158;2621
