LETO;DRZAVA;BDP
2008;Belgium;351743,1
2008;Bulgaria;37217,7
2008;Czechia;162064,5
2008;Denmark;241613,5
2008;Germany;2546490,0
2008;Estonia;16638,3
2008;Ireland;187619,5
2008;Greece;241990,4
2008;Spain;1109541,0
2008;France;1992380,0
2008;Croatia;47981,0
2008;Italy;1637699,4
2008;Cyprus;19009,6
2008;Latvia;24464,5
2008;Lithuania;32660,1
2008;Luxembourg;38128,6
2008;Hungary;108215,8
2008;Malta;6206,0
2008;Netherlands;647198,0
2008;Austria;293761,9
2008;Poland;366040,5
2008;Portugal;179102,8
2008;Romania;146590,6
2008;Slovenia;37925,7
2008;Slovakia;66098,1
2008;Finland;194265,0
2008;Sweden;354881,1
2008;United Kingdom;1995854,5
2008;Iceland;10948,5
2008;Liechtenstein;NA
2008;Norway;317021,5
2008;Switzerland;389124,7
2008;Montenegro;3103,3
2008;North Macedonia;6772,1
2008;Albania;8800,3
2008;Serbia;35712,5
2008;Turkey;525994,8
2008;Bosnia and Herzegovina;13047,8
2008;Kosovo;3882,8
2009;Belgium;346472,8
2009;Bulgaria;37417,7
2009;Czechia;149586,5
2009;Denmark;231278,0
2009;Germany;2445730,0
2009;Estonia;14211,8
2009;Ireland;169785,8
2009;Greece;237534,2
2009;Spain;1069323,0
2009;France;1936422,0
2009;Croatia;45064,8
2009;Italy;1577255,9
2009;Cyprus;18675,5
2009;Latvia;18855,0
2009;Lithuania;26897,0
2009;Luxembourg;36976,5
2009;Hungary;94382,6
2009;Malta;6259,6
2009;Netherlands;624842,0
2009;Austria;288044,0
2009;Poland;317040,6
2009;Portugal;175416,4
2009;Romania;125213,9
2009;Slovenia;36254,9
2009;Slovakia;64095,5
2009;Finland;181747,0
2009;Sweden;314637,5
2009;United Kingdom;1738066,5
2009;Iceland;9426,4
2009;Liechtenstein;NA
2009;Norway;278246,6
2009;Switzerland;402236,6
2009;Montenegro;2993,9
2009;North Macedonia;6766,5
2009;Albania;8662,2
2009;Serbia;32486,2
2009;Turkey;465245,5
2009;Bosnia and Herzegovina;12679,3
2009;Kosovo;4069,6
2010;Belgium;363140,1
2010;Bulgaria;38058,1
2010;Czechia;157920,8
2010;Denmark;243165,4
2010;Germany;2564400,0
2010;Estonia;14860,7
2010;Ireland;167673,7
2010;Greece;224124,0
2010;Spain;1072709,0
2010;France;1995289,0
2010;Croatia;45195,1
2010;Italy;1611279,4
2010;Cyprus;19410,0
2010;Latvia;17872,8
2010;Lithuania;28033,8
2010;Luxembourg;40177,8
2010;Hungary;99576,3
2010;Malta;6815,8
2010;Netherlands;639187,0
2010;Austria;295896,6
2010;Poland;362190,9
2010;Portugal;179610,8
2010;Romania;125472,3
2010;Slovenia;36363,9
2010;Slovakia;68188,7
2010;Finland;188143,0
2010;Sweden;374695,2
2010;United Kingdom;1872175,5
2010;Iceland;10332,4
2010;Liechtenstein;NA
2010;Norway;323760,9
2010;Switzerland;455933,7
2010;Montenegro;3125,1
2010;North Macedonia;7108,3
2010;Albania;8996,6
2010;Serbia;31545,8
2010;Turkey;584855,7
2010;Bosnia and Herzegovina;12968,9
2010;Kosovo;4402,0
2011;Belgium;375967,8
2011;Bulgaria;41268,9
2011;Czechia;165202,2
2011;Denmark;247879,9
2011;Germany;2693560,0
2011;Estonia;16826,8
2011;Ireland;170950,9
2011;Greece;203308,2
2011;Spain;1063763,0
2011;France;2058369,0
2011;Croatia;44924,6
2011;Italy;1648755,8
2011;Cyprus;19803,0
2011;Latvia;20310,5
2011;Lithuania;31317,2
2011;Luxembourg;43164,6
2011;Hungary;102020,6
2011;Malta;6924,6
2011;Netherlands;650359,0
2011;Austria;310128,7
2011;Poland;379860,0
2011;Portugal;176096,2
2011;Romania;131841,6
2011;Slovenia;37058,6
2011;Slovakia;71304,5
2011;Finland;197998,0
2011;Sweden;412844,7
2011;United Kingdom;1912869,3
2011;Iceland;10889,0
2011;Liechtenstein;NA
2011;Norway;358339,5
2011;Switzerland;520201,4
2011;Montenegro;3264,8
2011;North Macedonia;7544,2
2011;Albania;9268,3
2011;Serbia;35431,7
2011;Turkey;600961,4
2011;Bosnia and Herzegovina;13411,8
2011;Kosovo;4814,5
2012;Belgium;386174,7
2012;Bulgaria;42048,6
2012;Czechia;162587,5
2012;Denmark;254578,0
2012;Germany;2745310,0
2012;Estonia;18050,7
2012;Ireland;175103,9
2012;Greece;188388,7
2012;Spain;1031099,0
2012;France;2088804,0
2012;Croatia;44007,9
2012;Italy;1624358,7
2012;Cyprus;19440,8
2012;Latvia;22219,0
2012;Lithuania;33410,2
2012;Luxembourg;44112,1
2012;Hungary;99984,0
2012;Malta;7364,5
2012;Netherlands;652966,0
2012;Austria;318653,0
2012;Poland;387947,0
